model,bh,p100,p050,p010,p001,beta,bh,p100,p050,p010,p001
W4_coarse,35,34,34,33,33,1.65882218,83%,81%,81%,79%,79%
W_old_coarse,33,33,32,31,31,0.853644869,79%,79%,76%,74%,74%
Dem6_coarse,36,35,34,34,34,1.577863356,86%,83%,81%,81%,81%
Przeworski_coarse,36,36,35,35,33,1.156420021,86%,86%,83%,83%,79%
e_boix_regime_coarse,36,35,33,33,32,1.260270987,86%,83%,79%,79%,76%
gwf_demo_coarse,37,34,34,34,33,1.089191624,88%,81%,81%,81%,79%
gwf_military_coarse,9,9,9,5,5,0.524322177,21%,21%,21%,12%,12%
gwf_monarchy_coarse,8,8,8,7,7,0.964814472,19%,19%,19%,17%,17%
gwf_party_coarse,8,7,7,7,7,0.242935587,19%,17%,17%,17%,17%
gwf_personal_coarse,4,2,2,2,2,0.020021959,10%,5%,5%,5%,5%
normpolity_coarse,36,32,32,31,31,1.265740062,86%,76%,76%,74%,74%
support_coarse,38,37,37,37,36,1.818857975,90%,88%,88%,88%,86%
l_pwd_a_coarse,39,37,34,34,33,1.116162956,93%,88%,81%,81%,79%
l_pwd_g_coarse,38,37,36,34,33,1.031418749,90%,88%,86%,81%,79%
l_pwd_m_coarse,39,39,38,37,37,1.271454637,93%,93%,90%,88%,88%
Egr_coarse,25,20,18,15,13,0.173687975,60%,48%,43%,36%,31%
Elr_coarse,37,34,33,30,27,0.988507489,88%,81%,79%,71%,64%
Epr_coarse,38,36,36,36,36,0.755075113,90%,86%,86%,86%,86%
Err_coarse,39,38,38,38,35,0.760839957,93%,90%,90%,90%,83%
wb_urbpop_coarse,26,26,25,22,20,0.921012659,62%,62%,60%,52%,48%
