,model,bhp,pp10,pp05,pp01,bhw,pw10,pw05,pw01,m3_win_bic,m3_win_aic,meanbetap,meanbetaw
20,W4,0.0,0,0,0,31.0,26,25,25,0.0,0.0,,4.732
30,W_old,0.0,0,0,0,32.0,29,29,29,0.0,0.0,,2.2485714285714287
118,support,0.0,0,0,0,31.0,26,25,24,0.0,0.0,,3.468
106,normpolity,0.0,0,0,0,32.0,28,27,25,0.0,0.0,,2.960571428571429
0,Dem6,0.0,0,0,0,32.0,28,28,27,0.0,0.0,,1.2434285714285715
40,e_boix_regime,0.0,0,0,0,30.0,28,28,27,0.0,0.0,,1.2857142857142858
10,Przeworski,0.0,0,0,0,32.0,27,26,25,0.0,0.0,,1.1031428571428572
82,gwf_party,0.0,0,0,0,7.0,1,0,0,0.0,0.0,,0.2502857142857143
62,gwf_military,0.0,0,0,0,6.0,0,0,0,0.0,0.0,,0.06857142857142857
72,gwf_monarchy,0.0,0,0,0,23.0,9,6,3,0.0,0.0,,0.37514285714285717
92,gwf_personal,0.0,0,0,0,3.0,1,0,0,0.0,0.0,,0.045142857142857144
52,gwf_demo,0.0,0,0,0,32.0,28,28,27,0.0,0.0,,1.346
103,ln_pwd_a,25.0,5,4,2,0.0,0,0,0,0.0,0.0,10.72342857142857,
104,ln_pwd_g,22.0,1,1,0,0.0,0,0,0,0.0,0.0,10.626571428571427,
105,ln_pwd_m,24.0,2,0,0,0.0,0,0,0,0.0,0.0,2.5557142857142856,
128,wb_urbpop,19.0,12,12,4,0.0,0,0,0,0.0,0.0,0.08885714285714287,
102,l_res_norm,7.0,2,2,1,0.0,0,0,0,0.0,0.0,2.1942857142857144,
116,p_res_norm,32.0,12,4,0,0.0,0,0,0,0.0,0.0,2.5234285714285716,
117,r_res_norm,7.0,0,0,0,0.0,0,0,0,0.0,0.0,1.5297142857142856,
51,g_res_norm,27.0,5,3,0,0.0,0,0,0,0.0,0.0,4.602285714285713,
50,e_peaveduc,13.0,2,1,1,0.0,0,0,0,0.0,0.0,0.2454285714285714,
24,W4+ln_pwd_a,23.0,6,3,2,31.0,27,27,23,11.0,24.0,10.634,3.8371428571428567
