model,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic,meanbetap,meanbetaw,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic
W4,0,0,0,0,0,31,26,25,25,24,0,0,,4.732,0%,0%,0%,0%,0%,89%,74%,71%,71%,69%,0%,0%
W_old,0,0,0,0,0,32,29,29,29,25,0,0,,2.248571429,0%,0%,0%,0%,0%,91%,83%,83%,83%,71%,0%,0%
support,0,0,0,0,0,31,26,25,24,23,0,0,,3.468,0%,0%,0%,0%,0%,89%,74%,71%,69%,66%,0%,0%
normpolity,0,0,0,0,0,32,28,27,25,25,0,0,,2.960571429,0%,0%,0%,0%,0%,91%,80%,77%,71%,71%,0%,0%
Dem6,0,0,0,0,0,32,28,28,27,25,0,0,,1.243428571,0%,0%,0%,0%,0%,91%,80%,80%,77%,71%,0%,0%
e_boix_regime,0,0,0,0,0,30,28,28,27,25,0,0,,1.285714286,0%,0%,0%,0%,0%,86%,80%,80%,77%,71%,0%,0%
Przeworski,0,0,0,0,0,32,27,26,25,24,0,0,,1.103142857,0%,0%,0%,0%,0%,91%,77%,74%,71%,69%,0%,0%
gwf_party,0,0,0,0,0,7,1,0,0,0,0,0,,0.250285714,0%,0%,0%,0%,0%,20%,3%,0%,0%,0%,0%,0%
gwf_military,0,0,0,0,0,6,0,0,0,0,0,0,,0.068571429,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%
gwf_monarchy,0,0,0,0,0,23,9,6,3,3,0,0,,0.375142857,0%,0%,0%,0%,0%,66%,26%,17%,9%,9%,0%,0%
gwf_personal,0,0,0,0,0,3,1,0,0,0,0,0,,0.045142857,0%,0%,0%,0%,0%,9%,3%,0%,0%,0%,0%,0%
gwf_demo,0,0,0,0,0,32,28,28,27,25,0,0,,1.346,0%,0%,0%,0%,0%,91%,80%,80%,77%,71%,0%,0%
ln_pwd_a,25,5,4,2,2,0,0,0,0,0,0,0,10.72342857,,71%,14%,11%,6%,6%,0%,0%,0%,0%,0%,0%,0%
ln_pwd_g,22,1,1,0,0,0,0,0,0,0,0,0,10.62657143,,63%,3%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ln_pwd_m,24,2,0,0,0,0,0,0,0,0,0,0,2.555714286,,69%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wb_urbpop,19,12,12,4,3,0,0,0,0,0,0,0,0.088857143,,54%,34%,34%,11%,9%,0%,0%,0%,0%,0%,0%,0%
