Outcome,OutcomeCategory,Stat,W4,g_res_norm,l_res_norm,ln_pwd_a,ln_pwd_g,ln_pwd_m,p_res_norm,r_res_norm,wb_urbpop
MediaCensored,Abuse,AIC,17166.88,22190.72,22069.13,4768.05,4767.03,4760.61,22125.09,22168.6,23377.06
MediaCensored,Abuse,loglike,-8520.02,-11031.91,-10971.11,-2360.86,-2360.35,-2357.14,-10999.09,-11020.85,-11625.1
MediaCensored,Abuse,beta,5.07,0.9,-1.96,0.85,1.48,1.64,1.08,-1.28,0.02
MediaCensored,Abuse,tstat,21.21,1.0,-3.05,0.68,0.65,1.04,1.85,-1.27,2.06
PackCourts,Abuse,AIC,17222.51,17176.76,17163.12,3329.98,3326.19,3322.42,17189.5,17064.45,18015.02
PackCourts,Abuse,loglike,-8547.83,-8524.93,-8518.11,-1641.82,-1639.93,-1638.04,-8531.29,-8468.77,-8944.08
PackCourts,Abuse,beta,-1.75,0.57,0.67,0.18,1.24,1.16,0.15,1.65,0.0
PackCourts,Abuse,tstat,-7.17,0.93,0.74,0.14,0.61,0.96,0.45,2.64,0.48
EliteWantCommonGood,EndogPublicGoods,AIC,16922.68,15149.7,15140.54,2778.8,2778.94,2781.51,15068.3,15049.36,17592.44
EliteWantCommonGood,EndogPublicGoods,loglike,-8397.91,-7511.4,-7506.81,-1366.24,-1366.31,-1367.59,-7470.69,-7461.23,-8732.79
EliteWantCommonGood,EndogPublicGoods,beta,1.9,-0.47,-0.52,-0.67,-0.96,0.18,0.75,-1.38,0.01
EliteWantCommonGood,EndogPublicGoods,tstat,6.52,-0.57,-0.94,-0.76,-0.63,0.17,2.29,-3.6,2.23
GoodsRatio,EndogPublicGoods,AIC,-29522.89,-28930.58,-28986.69,-17017.94,-17015.01,-17018.19,-29050.6,-28970.02,-28656.73
GoodsRatio,EndogPublicGoods,loglike,14824.87,14528.75,14556.8,8532.14,8530.67,8532.26,14588.76,14548.46,14391.8
GoodsRatio,EndogPublicGoods,beta,0.11,0.04,-0.08,0.04,0.02,0.04,0.08,-0.08,0.0
GoodsRatio,EndogPublicGoods,tstat,4.3,0.79,-0.91,0.68,0.21,0.6,2.33,-1.41,1.83
PrivateorPublicGoods,EndogPublicGoods,AIC,17849.42,15821.73,15713.55,2420.35,2412.98,2415.68,15817.62,15828.43,17677.55
PrivateorPublicGoods,EndogPublicGoods,loglike,-8861.28,-7847.41,-7793.32,-1187.01,-1183.33,-1184.68,-7845.36,-7850.76,-8775.34
PrivateorPublicGoods,EndogPublicGoods,beta,0.98,0.39,-1.23,-0.36,-1.57,-0.86,0.29,-0.18,0.0
PrivateorPublicGoods,EndogPublicGoods,tstat,2.98,0.59,-1.7,-0.41,-0.94,-0.78,0.79,-0.33,0.56
PublicGood,EndogPublicGoods,AIC,-24833.42,-23316.23,-23465.02,-15363.8,-15356.79,-15365.98,-23291.4,-23283.43,-22971.01
PublicGood,EndogPublicGoods,loglike,12480.14,11721.57,11795.97,7705.06,7701.56,7706.15,11709.16,11705.17,11548.94
PublicGood,EndogPublicGoods,beta,0.25,0.12,-0.19,0.11,0.12,0.11,0.06,-0.08,0.0
PublicGood,EndogPublicGoods,tstat,8.28,1.7,-1.41,2.01,1.15,1.66,1.18,-1.05,2.63
PublicWantCommonGood,EndogPublicGoods,AIC,15627.08,19088.19,18966.81,4055.12,4050.1,4068.26,18997.25,18995.16,20374.06
PublicWantCommonGood,EndogPublicGoods,loglike,-7750.12,-9480.64,-9419.95,-2004.4,-2001.89,-2010.96,-9435.17,-9434.13,-10123.6
PublicWantCommonGood,EndogPublicGoods,beta,3.96,0.14,-1.52,-2.05,-3.4,-1.11,0.92,-1.56,0.01
PublicWantCommonGood,EndogPublicGoods,tstat,18.65,0.2,-3.67,-1.51,-1.33,-0.65,2.04,-3.41,2.11
CivilLiberties,Freedoms,AIC,-20078.88,-6933.39,-7051.16,-7628.78,-7629.68,-7643.5,-6985.55,-6947.14,-7306.13
CivilLiberties,Freedoms,loglike,10102.87,3530.15,3589.04,3837.55,3838.0,3844.92,3556.23,3537.02,3716.5
CivilLiberties,Freedoms,beta,1.22,0.25,-0.41,0.01,0.12,0.32,0.22,-0.29,0.0
CivilLiberties,Freedoms,tstat,36.67,1.43,-2.93,0.03,0.27,0.99,1.83,-1.78,3.01
FreeElections,Freedoms,AIC,13931.69,18427.61,18342.98,4363.32,4367.07,4363.54,18395.68,18423.68,18760.55
FreeElections,Freedoms,loglike,-6902.33,-9150.27,-9107.95,-2158.49,-2160.36,-2158.6,-9134.31,-9148.31,-9316.76
FreeElections,Freedoms,beta,5.29,0.6,-1.66,1.92,1.99,1.65,0.81,-0.7,0.04
FreeElections,Freedoms,tstat,21.48,0.78,-1.9,0.78,0.61,0.83,1.25,-1.12,4.01
FreeMovement,Freedoms,AIC,-13551.78,-11791.55,-11872.16,-10773.5,-10753.15,-10766.81,-11846.82,-11797.83,-11088.37
FreeMovement,Freedoms,loglike,6839.32,5959.23,5999.54,5409.91,5399.74,5406.57,5986.87,5962.37,5607.62
FreeMovement,Freedoms,beta,0.54,0.17,-0.26,0.26,0.13,0.21,0.16,-0.18,0.0
FreeMovement,Freedoms,tstat,7.76,1.56,-1.11,1.0,0.32,1.0,1.42,-0.9,2.18
JudicialIndep,Freedoms,AIC,15375.57,16668.57,16573.48,3032.28,3032.82,3033.86,16667.08,16560.27,17977.86
JudicialIndep,Freedoms,loglike,-7624.36,-8270.83,-8223.29,-1492.98,-1493.25,-1493.77,-8270.08,-8216.68,-8925.49
JudicialIndep,Freedoms,beta,2.77,0.04,-1.17,-0.66,-0.86,-0.41,0.11,-1.47,0.01
JudicialIndep,Freedoms,tstat,10.56,0.04,-1.86,-0.82,-0.53,-0.35,0.3,-3.07,2.29
PolRights,Freedoms,AIC,16815.81,21467.52,21271.34,6002.17,5993.85,5985.75,21418.79,21441.52,21640.65
PolRights,Freedoms,loglike,-8357.56,-10683.41,-10585.32,-2977.92,-2973.76,-2969.71,-10659.04,-10670.41,-10769.98
PolRights,Freedoms,beta,6.8,0.5,-3.42,1.68,3.65,3.01,1.21,-1.55,0.01
PolRights,Freedoms,tstat,21.98,0.28,-3.8,0.96,1.26,1.54,1.92,-1.33,0.79
PropertyRights,Freedoms,AIC,-16783.9,-14118.76,-14165.86,-12252.33,-12276.0,-12268.14,-14190.13,-14124.03,-14223.89
PropertyRights,Freedoms,loglike,8455.38,7122.83,7146.38,6149.33,6161.16,6157.23,7158.52,7125.47,7175.38
PropertyRights,Freedoms,beta,0.49,0.21,-0.23,-0.02,-0.31,-0.17,0.18,-0.22,0.0
PropertyRights,Freedoms,tstat,7.66,1.46,-1.2,-0.13,-1.16,-1.09,1.94,-1.67,2.43
ReligiousFreedom,Freedoms,AIC,15505.97,16955.89,16909.03,1232.06,1236.02,1231.91,16895.55,16860.98,17987.04
ReligiousFreedom,Freedoms,loglike,-7689.56,-8414.49,-8391.06,-592.87,-594.85,-592.79,-8384.32,-8367.04,-8930.09
ReligiousFreedom,Freedoms,beta,2.98,0.27,-0.87,-0.66,-0.32,0.66,0.68,-1.42,0.02
ReligiousFreedom,Freedoms,tstat,9.32,0.4,-0.74,-1.0,-0.33,0.79,1.07,-1.87,3.28
RespectConstitution,Freedoms,AIC,15956.31,18702.45,18644.4,3035.01,3035.29,3033.12,18669.15,18650.37,19845.11
RespectConstitution,Freedoms,loglike,-7914.72,-9287.77,-9258.74,-1494.34,-1494.48,-1493.4,-9271.12,-9261.73,-9859.12
RespectConstitution,Freedoms,beta,3.64,0.18,-1.04,0.23,0.13,0.59,0.56,-1.16,0.01
RespectConstitution,Freedoms,tstat,11.67,0.23,-1.63,0.24,0.06,0.35,1.09,-1.9,1.14
RuleofLaw,Freedoms,AIC,-17837.65,-14456.23,-14510.01,-9183.83,-9184.22,-9188.17,-14517.85,-14621.84,-14620.87
RuleofLaw,Freedoms,loglike,8982.25,7291.57,7318.46,4615.08,4615.27,4617.25,7322.38,7374.38,7373.87
RuleofLaw,Freedoms,beta,0.53,-0.03,-0.16,0.02,-0.07,0.14,0.12,-0.32,0.0
RuleofLaw,Freedoms,tstat,11.62,-0.16,-1.51,0.09,-0.15,0.43,1.57,-3.3,0.91
StateOwnsEconomy,KeyCorruptions,AIC,18087.69,17711.43,17740.74,126.97,117.51,119.07,17708.1,17657.41,19386.9
StateOwnsEconomy,KeyCorruptions,loglike,-8980.42,-8792.26,-8806.91,-40.32,-35.59,-36.37,-8790.59,-8765.25,-9630.02
StateOwnsEconomy,KeyCorruptions,beta,-2.32,-0.84,-0.2,0.27,1.26,0.78,-0.53,1.38,-0.0
StateOwnsEconomy,KeyCorruptions,tstat,-6.23,-1.01,-0.2,0.48,1.2,1.02,-0.97,1.7,-0.42
FreeExpression,KeyPublicGoods,AIC,-16852.33,-7174.89,-7318.47,-7393.39,-7392.57,-7403.06,-7211.14,-7162.19,-7485.66
FreeExpression,KeyPublicGoods,loglike,8489.59,3650.9,3722.69,3719.86,3719.45,3724.69,3669.03,3644.55,3806.26
FreeExpression,KeyPublicGoods,beta,1.11,0.26,-0.44,0.16,0.2,0.31,0.21,-0.23,0.0
FreeExpression,KeyPublicGoods,tstat,26.8,1.55,-3.13,0.58,0.39,0.88,1.77,-1.27,2.94
