Outcome,OutcomeCategory,Stat,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop
MediaCensored,Abuse,betaw,,5.1,,,5.1,,,5.91,,,5.91,,,5.91,,,5.1,,,5.1,,,5.12,
MediaCensored,Abuse,betap,0.39,,0.9,-0.98,,-1.96,0.7,,0.85,0.47,,1.48,0.62,,1.64,0.18,,1.08,-0.53,,-1.28,0.0,,0.02
MediaCensored,Abuse,tstatw,,20.27,,,20.27,,,9.81,,,9.81,,,9.81,,,20.27,,,20.27,,,21.52,
MediaCensored,Abuse,tstatp,0.66,,1.0,-2.23,,-3.05,0.55,,0.68,0.22,,0.65,0.47,,1.04,0.6,,1.85,-0.71,,-1.27,0.37,,2.06
MediaCensored,Abuse,AIC,15765.62,15772.06,22190.72,15700.67,15772.06,22069.13,3306.26,3306.96,4768.05,3308.42,3306.96,4767.03,3306.79,3306.96,4760.61,15769.12,15772.06,22125.09,15758.3,15772.06,22168.6,16821.62,16821.86,23377.06
MediaCensored,Abuse,BIC,16218.93,16218.3,22636.96,16153.98,16218.3,22515.37,3453.02,3447.62,4908.71,3455.18,3447.62,4907.69,3453.55,3447.62,4901.27,16222.43,16218.3,22571.33,16211.61,16218.3,22614.84,17278.18,17271.31,23826.5
MediaCensored,Abuse,loglike,-7818.34,-7822.58,-11031.91,-7785.86,-7822.58,-10971.11,-1628.95,-1630.32,-2360.86,-1630.03,-1630.32,-2360.35,-1629.22,-1630.32,-2357.14,-7820.09,-7822.58,-10999.09,-7814.68,-7822.58,-11020.85,-8346.36,-8347.5,-11625.1
PackCourts,Abuse,betaw,,-1.82,,,-1.82,,,-2.35,,,-2.35,,,-2.35,,,-1.82,,,-1.82,,,-1.75,
PackCourts,Abuse,betap,0.76,,0.57,0.32,,0.67,0.24,,0.18,1.65,,1.24,1.57,,1.16,0.48,,0.15,1.38,,1.65,0.01,,0.0
PackCourts,Abuse,tstatw,,-7.35,,,-7.35,,,-4.97,,,-4.97,,,-4.97,,,-7.35,,,-7.35,,,-7.04,
PackCourts,Abuse,tstatp,1.51,,0.93,0.38,,0.74,0.22,,0.14,0.9,,0.61,1.51,,0.96,1.76,,0.45,2.48,,2.64,1.48,,0.48
PackCourts,Abuse,AIC,16086.46,16115.36,17176.76,16109.75,16115.36,17163.12,3034.75,3033.07,3329.98,3027.52,3033.07,3326.19,3019.69,3033.07,3322.42,16084.27,16115.36,17189.5,16015.6,16115.36,17064.45,16970.81,17000.14,18015.02
