Outcome,OutcomeCategory,Stat,Dem6+e_peaveduc,Dem6+e_peaveduc/Dem6,Dem6+e_peaveduc/e_peaveduc,Dem6+g_res_norm,Dem6+g_res_norm/Dem6,Dem6+g_res_norm/g_res_norm,Dem6+l_res_norm,Dem6+l_res_norm/Dem6,Dem6+l_res_norm/l_res_norm,Dem6+ln_pwd_a,Dem6+ln_pwd_a/Dem6,Dem6+ln_pwd_a/ln_pwd_a,Dem6+ln_pwd_g,Dem6+ln_pwd_g/Dem6,Dem6+ln_pwd_g/ln_pwd_g,Dem6+ln_pwd_m,Dem6+ln_pwd_m/Dem6,Dem6+ln_pwd_m/ln_pwd_m,Dem6+p_res_norm,Dem6+p_res_norm/Dem6,Dem6+p_res_norm/p_res_norm,Dem6+r_res_norm,Dem6+r_res_norm/Dem6,Dem6+r_res_norm/r_res_norm,Dem6+wb_urbpop,Dem6+wb_urbpop/Dem6,Dem6+wb_urbpop/wb_urbpop,Przeworski+e_peaveduc,Przeworski+e_peaveduc/Przeworski,Przeworski+e_peaveduc/e_peaveduc,Przeworski+g_res_norm,Przeworski+g_res_norm/Przeworski,Przeworski+g_res_norm/g_res_norm,Przeworski+l_res_norm,Przeworski+l_res_norm/Przeworski,Przeworski+l_res_norm/l_res_norm,Przeworski+ln_pwd_a,Przeworski+ln_pwd_a/Przeworski,Przeworski+ln_pwd_a/ln_pwd_a,Przeworski+ln_pwd_g,Przeworski+ln_pwd_g/Przeworski,Przeworski+ln_pwd_g/ln_pwd_g,Przeworski+ln_pwd_m,Przeworski+ln_pwd_m/Przeworski,Przeworski+ln_pwd_m/ln_pwd_m,Przeworski+p_res_norm,Przeworski+p_res_norm/Przeworski,Przeworski+p_res_norm/p_res_norm,Przeworski+r_res_norm,Przeworski+r_res_norm/Przeworski,Przeworski+r_res_norm/r_res_norm,Przeworski+wb_urbpop,Przeworski+wb_urbpop/Przeworski,Przeworski+wb_urbpop/wb_urbpop,W4+e_peaveduc,W4+e_peaveduc/W4,W4+e_peaveduc/e_peaveduc,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop,W_old+e_peaveduc,W_old+e_peaveduc/W_old,W_old+e_peaveduc/e_peaveduc,W_old+g_res_norm,W_old+g_res_norm/W_old,W_old+g_res_norm/g_res_norm,W_old+l_res_norm,W_old+l_res_norm/W_old,W_old+l_res_norm/l_res_norm,W_old+ln_pwd_a,W_old+ln_pwd_a/W_old,W_old+ln_pwd_a/ln_pwd_a,W_old+ln_pwd_g,W_old+ln_pwd_g/W_old,W_old+ln_pwd_g/ln_pwd_g,W_old+ln_pwd_m,W_old+ln_pwd_m/W_old,W_old+ln_pwd_m/ln_pwd_m,W_old+p_res_norm,W_old+p_res_norm/W_old,W_old+p_res_norm/p_res_norm,W_old+r_res_norm,W_old+r_res_norm/W_old,W_old+r_res_norm/r_res_norm,W_old+wb_urbpop,W_old+wb_urbpop/W_old,W_old+wb_urbpop/wb_urbpop,e_boix_regime+e_peaveduc,e_boix_regime+e_peaveduc/e_boix_regime,e_boix_regime+e_peaveduc/e_peaveduc,e_boix_regime+g_res_norm,e_boix_regime+g_res_norm/e_boix_regime,e_boix_regime+g_res_norm/g_res_norm,e_boix_regime+l_res_norm,e_boix_regime+l_res_norm/e_boix_regime,e_boix_regime+l_res_norm/l_res_norm,e_boix_regime+ln_pwd_a,e_boix_regime+ln_pwd_a/e_boix_regime,e_boix_regime+ln_pwd_a/ln_pwd_a,e_boix_regime+ln_pwd_g,e_boix_regime+ln_pwd_g/e_boix_regime,e_boix_regime+ln_pwd_g/ln_pwd_g,e_boix_regime+ln_pwd_m,e_boix_regime+ln_pwd_m/e_boix_regime,e_boix_regime+ln_pwd_m/ln_pwd_m,e_boix_regime+p_res_norm,e_boix_regime+p_res_norm/e_boix_regime,e_boix_regime+p_res_norm/p_res_norm,e_boix_regime+r_res_norm,e_boix_regime+r_res_norm/e_boix_regime,e_boix_regime+r_res_norm/r_res_norm,e_boix_regime+wb_urbpop,e_boix_regime+wb_urbpop/e_boix_regime,e_boix_regime+wb_urbpop/wb_urbpop,gwf_party+e_peaveduc,gwf_party+e_peaveduc/e_peaveduc,gwf_party+e_peaveduc/gwf_party,gwf_party+g_res_norm,gwf_party+g_res_norm/g_res_norm,gwf_party+g_res_norm/gwf_party,gwf_party+l_res_norm,gwf_party+l_res_norm/gwf_party,gwf_party+l_res_norm/l_res_norm,gwf_party+ln_pwd_a,gwf_party+ln_pwd_a/gwf_party,gwf_party+ln_pwd_a/ln_pwd_a,gwf_party+ln_pwd_g,gwf_party+ln_pwd_g/gwf_party,gwf_party+ln_pwd_g/ln_pwd_g,gwf_party+ln_pwd_m,gwf_party+ln_pwd_m/gwf_party,gwf_party+ln_pwd_m/ln_pwd_m,gwf_party+p_res_norm,gwf_party+p_res_norm/gwf_party,gwf_party+p_res_norm/p_res_norm,gwf_party+r_res_norm,gwf_party+r_res_norm/gwf_party,gwf_party+r_res_norm/r_res_norm,gwf_party+wb_urbpop,gwf_party+wb_urbpop/gwf_party,gwf_party+wb_urbpop/wb_urbpop,normpolity+e_peaveduc,normpolity+e_peaveduc/e_peaveduc,normpolity+e_peaveduc/normpolity,normpolity+g_res_norm,normpolity+g_res_norm/g_res_norm,normpolity+g_res_norm/normpolity,normpolity+l_res_norm,normpolity+l_res_norm/l_res_norm,normpolity+l_res_norm/normpolity,normpolity+ln_pwd_a,normpolity+ln_pwd_a/ln_pwd_a,normpolity+ln_pwd_a/normpolity,normpolity+ln_pwd_g,normpolity+ln_pwd_g/ln_pwd_g,normpolity+ln_pwd_g/normpolity,normpolity+ln_pwd_m,normpolity+ln_pwd_m/ln_pwd_m,normpolity+ln_pwd_m/normpolity,normpolity+p_res_norm,normpolity+p_res_norm/normpolity,normpolity+p_res_norm/p_res_norm,normpolity+r_res_norm,normpolity+r_res_norm/normpolity,normpolity+r_res_norm/r_res_norm,normpolity+wb_urbpop,normpolity+wb_urbpop/normpolity,normpolity+wb_urbpop/wb_urbpop,support+e_peaveduc,support+e_peaveduc/e_peaveduc,support+e_peaveduc/support,support+g_res_norm,support+g_res_norm/g_res_norm,support+g_res_norm/support,support+l_res_norm,support+l_res_norm/l_res_norm,support+l_res_norm/support,support+ln_pwd_a,support+ln_pwd_a/ln_pwd_a,support+ln_pwd_a/support,support+ln_pwd_g,support+ln_pwd_g/ln_pwd_g,support+ln_pwd_g/support,support+ln_pwd_m,support+ln_pwd_m/ln_pwd_m,support+ln_pwd_m/support,support+p_res_norm,support+p_res_norm/p_res_norm,support+p_res_norm/support,support+r_res_norm,support+r_res_norm/r_res_norm,support+r_res_norm/support,support+wb_urbpop,support+wb_urbpop/support,support+wb_urbpop/wb_urbpop
MediaCensored,Abuse,betaw,1.57,1.57,,1.58,1.58,,1.56,1.58,,0.55,0.55,,0.55,0.55,,0.55,0.55,,1.57,1.58,,1.58,1.58,,1.59,1.6,,1.75,1.75,,1.75,1.75,,1.73,1.75,,0.38,0.4,,0.39,0.4,,0.4,0.4,,1.74,1.75,,1.74,1.75,,1.75,1.76,,5.34,5.34,,5.09,5.1,,5.06,5.1,,5.91,5.91,,5.91,5.91,,5.9,5.91,,5.08,5.1,,5.08,5.1,,5.11,5.12,,2.17,2.17,,2.14,2.14,,2.11,2.14,,0.72,0.72,,0.73,0.72,,0.73,0.72,,2.12,2.14,,2.14,2.14,,2.12,2.12,,1.65,1.66,,1.67,1.67,,1.65,1.67,,0.27,0.28,,0.28,0.28,,0.28,0.28,,1.66,1.67,,1.67,1.67,,1.68,1.68,,-0.85,,-0.85,-0.89,,-0.9,-0.88,-0.9,,-1.22,-1.21,,-1.24,-1.21,,-1.24,-1.21,,-0.9,-0.9,,-0.91,-0.9,,-0.88,-0.89,,3.15,,3.15,3.08,,3.08,3.05,,3.08,2.3,,2.3,2.31,,2.3,2.31,,2.3,3.07,3.08,,3.07,3.08,,3.09,3.1,,3.98,,3.96,3.99,,3.99,3.87,,3.99,2.44,,2.46,2.46,,2.46,2.49,,2.46,3.96,,3.99,3.96,,3.99,3.53,3.55,
MediaCensored,Abuse,betap,0.0,,0.02,0.62,,0.9,-1.61,,-1.96,0.52,,0.85,1.18,,1.48,1.73,,1.64,0.4,,1.08,-1.12,,-1.28,0.01,,0.02,0.04,,0.02,0.54,,0.9,-1.36,,-1.96,6.76,,0.85,11.31,,1.48,4.35,,1.64,0.56,,1.08,-1.26,,-1.28,0.01,,0.02,0.0,,0.02,0.39,,0.9,-0.98,,-1.96,0.7,,0.85,0.47,,1.48,0.62,,1.64,0.18,,1.08,-0.53,,-1.28,0.0,,0.02,0.02,,0.02,0.82,,0.9,-1.6,,-1.96,1.0,,0.85,2.02,,1.48,1.94,,1.64,0.83,,1.08,-1.17,,-1.28,0.02,,0.02,0.02,,0.02,0.39,,0.9,-1.06,,-1.96,1.57,,0.85,2.39,,1.48,1.39,,1.64,0.56,,1.08,-1.0,,-1.28,0.01,,0.02,-0.01,0.02,,0.62,0.9,,-1.64,,-1.96,5.53,,0.85,10.67,,1.48,5.54,,1.64,1.02,,1.08,-1.5,,-1.28,0.01,,0.02,0.04,0.02,,0.04,0.9,,-1.35,-1.96,,0.71,0.85,,1.86,1.48,,1.83,1.64,,0.35,,1.08,-1.03,,-1.28,0.0,,0.02,0.04,0.02,,0.78,0.9,,-1.01,-1.96,,0.68,0.85,,1.12,1.48,,1.58,1.64,,0.84,1.08,,-0.91,-1.28,,0.01,,0.02
MediaCensored,Abuse,tstatw,11.24,11.24,,12.04,12.03,,12.07,12.03,,4.73,4.73,,4.71,4.73,,4.74,4.73,,11.85,12.03,,11.94,12.03,,12.24,12.24,,9.54,9.49,,10.31,10.32,,10.28,10.32,,2.15,2.28,,2.27,2.28,,2.31,2.28,,10.23,10.32,,10.22,10.32,,10.48,10.48,,19.48,19.46,,20.25,20.27,,20.22,20.27,,9.8,9.81,,9.77,9.81,,9.77,9.81,,19.94,20.27,,20.19,20.27,,21.27,21.52,,9.02,9.01,,9.85,9.88,,9.84,9.88,,3.94,3.9,,4.02,3.9,,4.01,3.9,,9.7,9.88,,9.86,9.88,,9.8,9.86,,10.13,10.12,,11.12,11.17,,11.08,11.17,,1.91,1.92,,1.92,1.92,,1.91,1.92,,11.05,11.17,,11.12,11.17,,11.27,11.32,,-4.54,,-4.55,-5.2,,-5.22,-5.24,-5.22,,-1.73,-1.75,,-1.75,-1.75,,-1.78,-1.75,,-5.22,-5.22,,-5.42,-5.22,,-5.05,-5.11,,15.91,,15.85,17.4,,17.44,17.36,,17.44,6.25,,6.24,6.27,,6.24,6.28,,6.24,17.2,17.44,,17.34,17.44,,17.51,17.58,,6.9,,6.98,7.42,,7.42,7.2,,7.42,3.67,,3.69,3.68,,3.69,3.69,,3.69,7.39,,7.42,7.42,,7.42,7.82,7.82,
MediaCensored,Abuse,tstatp,0.03,,0.24,1.03,,1.0,-3.56,,-3.05,0.39,,0.68,0.53,,0.65,1.13,,1.04,0.79,,1.85,-1.12,,-1.27,1.44,,2.06,0.61,,0.24,0.81,,1.0,-1.73,,-3.05,2.39,,0.68,2.45,,0.65,1.35,,1.04,1.19,,1.85,-1.09,,-1.27,0.76,,2.06,0.08,,0.24,0.66,,1.0,-2.23,,-3.05,0.55,,0.68,0.22,,0.65,0.47,,1.04,0.6,,1.85,-0.71,,-1.27,0.37,,2.06,0.26,,0.24,1.1,,1.0,-2.37,,-3.05,0.82,,0.68,0.94,,0.65,1.29,,1.04,1.65,,1.85,-1.27,,-1.27,2.33,,2.06,0.29,,0.24,0.68,,1.0,-2.43,,-3.05,1.36,,0.68,1.0,,0.65,0.77,,1.04,1.24,,1.85,-1.11,,-1.27,1.09,,2.06,-0.06,0.24,,0.78,1.0,,-2.69,,-3.05,2.28,,0.68,2.67,,0.65,1.78,,1.04,1.59,,1.85,-1.09,,-1.27,0.97,,2.06,0.81,0.24,,0.06,1.0,,-2.19,-3.05,,0.56,0.68,,0.98,0.65,,1.46,1.04,,0.95,,1.85,-1.21,,-1.27,0.51,,2.06,0.53,0.24,,0.99,1.0,,-1.61,-3.05,,0.57,0.68,,0.5,0.65,,1.07,1.04,,1.59,1.85,,-0.89,-1.27,,1.85,,2.06
MediaCensored,Abuse,AIC,14898.54,14896.51,18824.04,17841.26,17852.99,22190.72,17733.74,17852.99,22069.13,3785.77,3784.67,4768.05,3784.53,3784.67,4767.03,3776.87,3784.67,4760.61,17841.44,17852.99,22125.09,17818.16,17852.99,22168.6,17590.61,17617.43,23377.06,12266.44,12268.84,18824.04,14702.01,14708.71,22190.72,14637.83,14708.71,22069.13,692.55,717.68,4768.05,690.82,717.68,4767.03,710.62,717.68,4760.61,14684.7,14708.71,22125.09,14671.91,14708.71,22168.6,14610.75,14619.7,23377.06,13391.06,13389.12,18824.04,15765.62,15772.06,22190.72,15700.67,15772.06,22069.13,3306.26,3306.96,4768.05,3308.42,3306.96,4767.03,3306.79,3306.96,4760.61,15769.12,15772.06,22125.09,15758.3,15772.06,22168.6,16821.62,16821.86,23377.06,17268.81,17267.84,18824.04,20301.79,20322.67,22190.72,20205.95,20322.67,22069.13,4673.47,4675.18,4768.05,4670.18,4675.18,4767.03,4662.75,4675.18,4760.61,20260.71,20322.67,22125.09,20278.61,20322.67,22168.6,21475.11,21568.07,23377.06,14391.53,14390.41,18824.04,17351.32,17354.73,22190.72,17301.9,17354.73,22069.13,2890.37,2894.75,4768.05,2890.62,2894.75,4767.03,2892.59,2894.75,4760.61,17325.35,17354.73,22125.09,17326.29,17354.73,22168.6,17268.3,17286.62,23377.06,13711.18,18824.04,13709.21,15783.16,22190.72,15789.49,15711.87,15789.49,22069.13,733.65,761.2,4768.05,723.62,761.2,4767.03,742.99,761.2,4760.61,15734.26,15789.49,22125.09,15749.86,15789.49,22168.6,15671.19,15686.11,23377.06,12995.46,18824.04,13001.72,15537.11,22190.72,15535.15,15424.6,22069.13,15535.15,3325.61,4768.05,3325.65,3321.43,4767.03,3325.65,3314.94,4760.61,3325.65,15522.66,15535.15,22125.09,15495.85,15535.15,22168.6,15333.52,15335.74,23377.06,17275.12,18824.04,17277.78,20449.02,22190.72,20466.42,20425.43,22069.13,20466.42,4213.45,4768.05,4213.36,4212.97,4767.03,4213.36,4204.64,4760.61,4213.36,20409.03,22125.09,20466.42,20441.99,22168.6,20466.42,21631.01,21693.6,23377.06
MediaCensored,Abuse,BIC,15327.07,15318.26,19257.7,18282.97,18287.7,22636.96,18175.45,18287.7,22515.37,3923.37,3916.3,4908.71,3922.13,3916.3,4907.69,3914.48,3916.3,4901.27,18283.15,18287.7,22571.33,18259.87,18287.7,22614.84,18031.58,18051.42,23826.5,12618.07,12613.85,19257.7,15064.94,15064.81,22636.96,15000.76,15064.81,22515.37,761.49,781.33,4908.71,759.76,781.33,4907.69,779.56,781.33,4901.27,15047.64,15064.81,22571.33,15034.84,15064.81,22614.84,14973.8,14975.91,23826.5,13831.57,13822.77,19257.7,16218.93,16218.3,22636.96,16153.98,16218.3,22515.37,3453.02,3447.62,4908.71,3455.18,3447.62,4907.69,3453.55,3447.62,4901.27,16222.43,16218.3,22571.33,16211.61,16218.3,22614.84,17278.18,17271.31,23826.5,17709.33,17701.49,19257.7,20755.1,20768.91,22636.96,20659.26,20768.91,22515.37,4820.23,4815.84,4908.71,4816.94,4815.84,4907.69,4809.51,4815.84,4901.27,20714.02,20768.91,22571.33,20731.92,20768.91,22614.84,21931.67,22017.51,23826.5,14798.48,14790.6,19257.7,17771.53,17767.95,22636.96,17722.12,17767.95,22515.37,3008.04,3006.55,4908.71,3008.29,3006.55,4907.69,3010.26,3006.55,4901.27,17745.56,17767.95,22571.33,17746.51,17767.95,22614.84,17688.67,17700.0,23826.5,14074.77,19257.7,14066.2,16155.56,22636.96,16155.13,16084.26,16155.13,22515.37,814.03,836.24,4908.71,804.01,836.24,4907.69,823.37,836.24,4901.27,16106.65,16155.13,22571.33,16122.25,16155.13,22614.84,16043.15,16051.33,23826.5,13423.99,19257.7,13423.46,15978.82,22636.96,15969.86,15866.31,22515.37,15969.86,3463.22,4908.71,3457.28,3459.04,4907.69,3457.28,3452.54,4901.27,3457.28,15964.37,15969.86,22571.33,15937.56,15969.86,22614.84,15774.49,15769.73,23826.5,17714.59,19257.7,17710.41,20901.42,22636.96,20911.76,20877.83,22515.37,20911.76,4359.86,4908.71,4353.69,4359.38,4907.69,4353.69,4351.05,4901.27,4353.69,20861.43,22571.33,20911.76,20894.39,22614.84,20911.76,22086.69,22142.18,23826.5
MediaCensored,Abuse,loglike,-7385.67,-7385.68,-9348.47,-8857.14,-8864.02,-11031.91,-8803.38,-8864.02,-10971.11,-1869.7,-1870.16,-2360.86,-1869.08,-1870.16,-2360.35,-1865.25,-1870.16,-2357.14,-8857.23,-8864.02,-10999.09,-8845.59,-8864.02,-11020.85,-8731.81,-8746.24,-11625.1,-6079.72,-6081.94,-9348.47,-7297.6,-7301.96,-11031.91,-7265.51,-7301.96,-10971.11,-333.15,-346.74,-2360.86,-332.29,-346.74,-2360.35,-342.19,-346.74,-2357.14,-7288.94,-7301.96,-10999.09,-7282.54,-7301.96,-11020.85,-7251.97,-7257.46,-11625.1,-6630.96,-6631.01,-9348.47,-7818.34,-7822.58,-11031.91,-7785.86,-7822.58,-10971.11,-1628.95,-1630.32,-2360.86,-1630.03,-1630.32,-2360.35,-1629.22,-1630.32,-2357.14,-7820.09,-7822.58,-10999.09,-7814.68,-7822.58,-11020.85,-8346.36,-8347.5,-11625.1,-8569.84,-8570.37,-9348.47,-10086.42,-10097.88,-11031.91,-10038.5,-10097.88,-10971.11,-2312.56,-2314.43,-2360.86,-2310.91,-2314.43,-2360.35,-2307.2,-2314.43,-2357.14,-10065.88,-10097.88,-10999.09,-10074.84,-10097.88,-11020.85,-10673.11,-10720.6,-11625.1,-7135.21,-7135.67,-9348.47,-8615.21,-8617.93,-11031.91,-8590.5,-8617.93,-10971.11,-1425.03,-1428.23,-2360.86,-1425.15,-1428.23,-2360.35,-1426.14,-1428.23,-2357.14,-8602.23,-8617.93,-10999.09,-8602.7,-8617.93,-11020.85,-8573.71,-8583.88,-11625.1,-6800.03,-9348.47,-6800.07,-7836.11,-11031.91,-7840.29,-7800.46,-7840.29,-10971.11,-351.67,-366.47,-2360.86,-346.66,-366.47,-2360.35,-356.34,-366.47,-2357.14,-7811.65,-7840.29,-10999.09,-7819.46,-7840.29,-11020.85,-7780.12,-7788.59,-11625.1,-6434.13,-9348.47,-6438.28,-7705.06,-11031.91,-7705.1,-7648.81,-10971.11,-7705.1,-1639.62,-2360.86,-1640.65,-1637.53,-2360.35,-1640.65,-1634.28,-2357.14,-1640.65,-7697.84,-7705.1,-10999.09,-7684.44,-7705.1,-11020.85,-7603.27,-7605.39,-11625.1,-8572.98,-9348.47,-8575.33,-10160.04,-11031.91,-10169.75,-10148.24,-10971.11,-10169.75,-2082.54,-2360.86,-2083.52,-2082.3,-2360.35,-2083.52,-2078.14,-2357.14,-2083.52,-10140.04,-10999.09,-10169.75,-10156.52,-11020.85,-10169.75,-10751.05,-10783.36,-11625.1
PackCourts,Abuse,betaw,-0.63,-0.63,,-0.67,-0.66,,-0.66,-0.66,,-0.33,-0.33,,-0.33,-0.33,,-0.33,-0.33,,-0.67,-0.66,,-0.65,-0.66,,-0.67,-0.67,,-0.62,-0.62,,-0.58,-0.58,,-0.58,-0.58,,-0.07,-0.08,,-0.07,-0.08,,-0.08,-0.08,,-0.59,-0.58,,-0.57,-0.58,,-0.59,-0.58,,-1.91,-1.92,,-1.83,-1.82,,-1.8,-1.82,,-2.35,-2.35,,-2.36,-2.35,,-2.38,-2.35,,-1.85,-1.82,,-1.79,-1.82,,-1.78,-1.75,,-0.83,-0.83,,-0.86,-0.86,,-0.85,-0.86,,-0.71,-0.71,,-0.71,-0.71,,-0.7,-0.71,,-0.87,-0.86,,-0.85,-0.86,,-0.84,-0.84,,-0.63,-0.63,,-0.65,-0.64,,-0.64,-0.64,,-0.19,-0.2,,-0.2,-0.2,,-0.2,-0.2,,-0.65,-0.64,,-0.63,-0.64,,-0.65,-0.65,,0.46,,0.47,0.47,,0.46,0.45,0.46,,0.37,0.37,,0.38,0.37,,0.4,0.37,,0.46,0.46,,0.47,0.46,,0.46,0.44,,-1.13,,-1.13,-1.16,,-1.14,-1.14,,-1.14,-1.24,,-1.24,-1.23,,-1.24,-1.23,,-1.24,-1.16,-1.14,,-1.13,-1.14,,-1.15,-1.14,,-1.52,,-1.48,-1.47,,-1.47,-1.42,,-1.47,-1.75,,-1.74,-1.74,,-1.74,-1.72,,-1.74,-1.48,,-1.47,-1.41,,-1.47,-1.07,-1.07,
PackCourts,Abuse,betap,-0.05,,-0.06,0.74,,0.57,0.39,,0.67,0.59,,0.18,1.25,,1.24,1.1,,1.16,0.44,,0.15,1.82,,1.65,0.0,,0.0,-0.07,,-0.06,0.81,,0.57,0.34,,0.67,-1.26,,0.18,-5.07,,1.24,-6.28,,1.16,0.53,,0.15,1.95,,1.65,0.01,,0.0,-0.05,,-0.06,0.76,,0.57,0.32,,0.67,0.24,,0.18,1.65,,1.24,1.57,,1.16,0.48,,0.15,1.38,,1.65,0.01,,0.0,-0.06,,-0.06,0.61,,0.57,0.53,,0.67,0.04,,0.18,0.72,,1.24,0.88,,1.16,0.25,,0.15,1.6,,1.65,0.0,,0.0,-0.06,,-0.06,0.88,,0.57,0.28,,0.67,-0.23,,0.18,-0.24,,1.24,-0.09,,1.16,0.46,,0.15,1.79,,1.65,0.0,,0.0,-0.06,-0.06,,0.86,0.57,,0.48,,0.67,-0.7,,0.18,-3.53,,1.24,-5.22,,1.16,0.38,,0.15,2.08,,1.65,0.01,,0.0,-0.07,-0.06,,0.94,0.57,,0.32,0.67,,0.48,0.18,,0.9,1.24,,1.06,1.16,,0.42,,0.15,1.81,,1.65,0.01,,0.0,-0.1,-0.06,,0.64,0.57,,0.4,0.67,,0.36,0.18,,1.12,1.24,,0.93,1.16,,0.27,0.15,,1.59,1.65,,0.0,,0.0
PackCourts,Abuse,tstatw,-5.73,-5.84,,-6.48,-6.47,,-6.56,-6.47,,-3.18,-3.17,,-3.18,-3.17,,-3.17,-3.17,,-6.56,-6.47,,-6.51,-6.47,,-6.54,-6.55,,-4.43,-4.39,,-4.64,-4.63,,-4.61,-4.63,,-0.35,-0.36,,-0.34,-0.36,,-0.37,-0.36,,-4.7,-4.63,,-4.56,-4.63,,-4.65,-4.63,,-6.94,-6.94,,-7.42,-7.35,,-7.29,-7.35,,-4.95,-4.97,,-4.92,-4.97,,-4.92,-4.97,,-7.49,-7.35,,-7.29,-7.35,,-7.17,-7.04,,-5.17,-5.15,,-5.81,-5.78,,-5.73,-5.78,,-3.65,-3.64,,-3.65,-3.64,,-3.64,-3.64,,-5.8,-5.78,,-5.74,-5.78,,-5.76,-5.77,,-5.07,-5.11,,-5.71,-5.68,,-5.78,-5.68,,-1.43,-1.44,,-1.44,-1.44,,-1.44,-1.44,,-5.78,-5.68,,-5.7,-5.68,,-5.68,-5.68,,2.71,,2.71,3.07,,2.97,2.95,2.97,,1.16,1.16,,1.17,1.16,,1.23,1.16,,2.96,2.97,,3.15,2.97,,2.92,2.82,,-6.44,,-6.41,-7.28,,-7.17,-7.12,,-7.17,-4.29,,-4.29,-4.3,,-4.29,-4.3,,-4.29,-7.23,-7.17,,-7.2,-7.17,,-7.12,-7.11,,-3.75,,-3.58,-3.4,,-3.39,-3.45,,-3.39,-2.62,,-2.63,-2.63,,-2.63,-2.62,,-2.63,-3.39,,-3.39,-3.43,,-3.39,-2.96,-2.95,
