Outcome,OutcomeCategory,Stat,W4,W4+p1,W4+p1/W4,W4+p1/p1,W4+p2,W4+p2/W4,W4+p2/p2,W4+p3,W4+p3/W4,W4+p3/p3,W4+p4,W4+p4/W4,W4+p4/p4,W4+p5,W4+p5/W4,W4+p5/p5,W4+p6,W4+p6/W4,W4+p6/p6,p1,p2,p3,p4,p5,p6
MediaCensored,Abuse,betaw,5.07,6.02,6.02,,5.16,5.16,,5.99,6.02,,5.16,5.16,,6.02,6.02,,6.02,6.02,,,,,,,
MediaCensored,Abuse,betap,,0.23,,0.26,-0.0,,0.03,0.33,,0.6,-0.0,,0.03,-0.04,,-0.05,-0.05,,-0.06,0.26,0.03,0.6,0.03,-0.05,-0.06
MediaCensored,Abuse,tstatw,21.21,9.94,9.93,,20.95,21.11,,9.95,9.93,,20.94,21.11,,9.99,9.93,,9.99,9.93,,,,,,,
MediaCensored,Abuse,tstatp,,0.83,,0.94,-0.09,,1.61,1.29,,2.22,-0.09,,1.65,-1.22,,-1.3,-1.17,,-1.19,0.94,1.61,2.22,1.65,-1.3,-1.19
MediaCensored,Abuse,AIC,17167.2,3266.62,3269.89,4732.03,15511.56,15509.67,21960.29,3259.43,3269.89,4709.37,15511.57,15509.67,21958.58,3234.75,3244.21,4691.28,3235.7,3244.21,4693.15,4732.03,21960.29,4709.37,21958.58,4691.28,4693.15
MediaCensored,Abuse,BIC,17617.46,3412.88,3410.07,4872.22,15964.1,15955.16,22405.78,3405.7,3410.07,4849.55,15964.11,15955.16,22404.06,3380.72,3384.11,4831.18,3381.67,3384.11,4833.05,4872.22,22405.78,4849.55,22404.06,4831.18,4833.05
MediaCensored,Abuse,loglike,-8520.18,-1609.13,-1611.78,-2342.85,-7691.31,-7691.38,-10916.69,-1605.54,-1611.78,-2331.52,-7691.31,-7691.38,-10915.83,-1593.19,-1598.93,-2322.47,-1593.67,-1598.93,-2323.41,-2342.85,-10916.69,-2331.52,-10915.83,-2322.47,-2323.41
PackCourts,Abuse,betaw,-1.75,-2.39,-2.39,,-1.86,-1.83,,-2.39,-2.39,,-1.86,-1.83,,-2.4,-2.39,,-2.39,-2.39,,,,,,,
PackCourts,Abuse,betap,,0.05,,0.04,0.01,,0.0,-0.03,,-0.14,0.01,,0.0,-0.02,,-0.02,-0.03,,-0.03,0.04,0.0,-0.14,0.0,-0.02,-0.03
PackCourts,Abuse,tstatw,-7.17,-4.93,-4.94,,-7.43,-7.33,,-4.87,-4.94,,-7.43,-7.33,,-4.95,-4.93,,-4.94,-4.93,,,,,,,
PackCourts,Abuse,tstatp,,0.21,,0.14,1.14,,0.2,-0.1,,-0.44,1.15,,0.2,-0.67,,-0.57,-0.69,,-0.62,0.14,0.2,-0.44,0.2,-0.57,-0.62
PackCourts,Abuse,AIC,17222.55,2969.37,2967.67,3270.26,15940.26,15956.92,17029.9,2969.61,2967.67,3268.3,15939.77,15956.92,17029.9,2950.46,2953.25,3250.1,2950.19,2953.25,3249.56,3270.26,17029.9,3268.3,17029.9,3250.1,3249.56
PackCourts,Abuse,BIC,17672.24,3115.6,3107.82,3410.4,16392.55,16402.16,17475.14,3115.84,3107.82,3408.45,16392.06,16402.16,17475.14,3096.39,3093.12,3389.97,3096.13,3093.12,3389.42,3410.4,17475.14,3408.45,17475.14,3389.97,3389.42
PackCourts,Abuse,loglike,-8547.85,-1460.5,-1460.67,-1611.96,-7905.65,-7915.0,-8451.49,-1460.63,-1460.67,-1610.98,-7905.41,-7915.0,-8451.49,-1451.05,-1453.46,-1601.88,-1450.91,-1453.46,-1601.61,-1611.96,-8451.49,-1610.98,-8451.49,-1601.88,-1601.61
SlaveLabor,Abuse,betaw,-0.35,-0.18,-0.18,,-0.33,-0.34,,-0.19,-0.18,,-0.33,-0.34,,-0.18,-0.18,,-0.18,-0.18,,,,,,,
SlaveLabor,Abuse,betap,,-0.01,,-0.01,-0.0,,-0.01,0.01,,0.0,-0.0,,-0.01,0.0,,0.0,0.0,,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0
SlaveLabor,Abuse,tstatw,-7.15,-2.61,-2.62,,-6.82,-6.96,,-2.65,-2.62,,-6.82,-6.96,,-2.62,-2.61,,-2.62,-2.61,,,,,,,
SlaveLabor,Abuse,tstatp,,-0.36,,-0.37,-3.06,,-3.56,0.36,,0.06,-3.1,,-3.62,0.05,,0.12,0.09,,0.14,-0.37,-3.56,0.06,-3.62,0.12,0.14
SlaveLabor,Abuse,AIC,-17094.06,-11805.73,-11806.8,-11650.74,-19685.89,-19521.58,-17799.36,-11805.91,-11806.8,-11649.67,-19684.86,-19521.58,-17800.55,-11625.44,-11627.46,-11472.32,-11625.49,-11627.46,-11472.36,-11650.74,-17799.36,-11649.67,-17800.55,-11472.32,-11472.36
SlaveLabor,Abuse,BIC,-16643.81,-11659.47,-11666.62,-11510.56,-19233.35,-19076.1,-17353.87,-11659.65,-11666.62,-11509.48,-19232.32,-19076.1,-17355.07,-11479.47,-11487.56,-11332.42,-11479.52,-11487.56,-11332.45,-11510.56,-17353.87,-11509.48,-17355.07,-11332.42,-11332.45
SlaveLabor,Abuse,loglike,8610.46,5927.05,5926.57,5848.54,9907.42,9824.25,8963.14,5927.14,5926.57,5848.0,9906.91,9824.25,8963.74,5836.91,5836.9,5759.33,5836.93,5836.9,5759.35,5848.54,8963.14,5848.0,8963.74,5759.33,5759.35
Torture,Abuse,betaw,-4.24,-3.73,-3.73,,-4.34,-4.36,,-3.71,-3.73,,-4.34,-4.36,,-3.73,-3.73,,-3.73,-3.73,,,,,,,
