model,p_t_10,p_t_05,p_t_01,bhn,aic_wins_n,bic_wins_n
W4,27,26,26,31,0,0
W_old,29,29,28,32,0,0
support,27,26,24,31,0,0
normpolity,29,28,25,32,0,0
Dem6,28,28,27,32,0,0
e_boix_regime,28,28,27,30,0,0
Przeworski,28,26,25,32,0,0
gwf_party,22,21,15,8,0,0
gwf_military,0,0,0,0,0,0
gwf_monarchy,0,0,0,0,0,0
gwf_personal,0,0,0,0,0,0
gwf_demo,0,0,0,0,0,0
Dem6+e_peaveduc,6,5,1,19,8,5
Dem6+g_res_norm,5,3,0,20,17,14
Dem6+l_res_norm,3,2,1,6,6,4
Dem6+ln_pwd_a,4,3,2,21,10,5
Dem6+ln_pwd_g,1,1,1,20,12,5
Dem6+ln_pwd_m,1,0,0,24,11,6
Dem6+p_res_norm,3,1,0,25,23,15
Dem6+r_res_norm,0,0,0,7,4,3
Dem6+wb_urbpop,11,8,4,16,15,14
Przeworski+e_peaveduc,4,2,1,21,10,9
Przeworski+g_res_norm,3,2,0,21,11,9
Przeworski+l_res_norm,2,1,1,9,7,5
Przeworski+ln_pwd_a,13,10,7,31,18,11
Przeworski+ln_pwd_g,13,10,4,30,19,15
Przeworski+ln_pwd_m,6,2,1,28,15,8
Przeworski+p_res_norm,6,2,2,31,21,19
Przeworski+r_res_norm,0,0,0,7,5,5
Przeworski+wb_urbpop,10,5,3,14,14,13
W4+e_peaveduc,5,2,1,16,7,5
W4+g_res_norm,6,4,0,20,17,13
W4+l_res_norm,2,2,1,7,7,5
W4+ln_pwd_a,6,3,2,23,15,6
W4+ln_pwd_g,1,1,0,16,9,3
W4+ln_pwd_m,1,1,0,20,11,5
W4+p_res_norm,2,0,0,27,19,13
W4+r_res_norm,0,0,0,8,5,4
W4+wb_urbpop,6,6,3,14,11,11
W_old+e_peaveduc,4,3,1,20,9,6
W_old+g_res_norm,7,2,1,25,18,13
W_old+l_res_norm,2,2,1,7,6,1
W_old+ln_pwd_a,6,4,2,25,16,9
W_old+ln_pwd_g,2,1,0,24,15,8
W_old+ln_pwd_m,3,2,0,24,19,13
W_old+p_res_norm,9,3,0,31,27,23
W_old+r_res_norm,0,0,0,7,3,2
W_old+wb_urbpop,12,12,7,20,18,16
e_boix_regime+e_peaveduc,5,3,1,22,11,6
e_boix_regime+g_res_norm,4,1,1,20,14,11
e_boix_regime+l_res_norm,2,1,1,7,7,6
e_boix_regime+ln_pwd_a,5,3,2,29,12,8
e_boix_regime+ln_pwd_g,2,2,1,26,13,9
e_boix_regime+ln_pwd_m,1,0,0,27,15,7
e_boix_regime+p_res_norm,4,0,0,31,22,22
e_boix_regime+r_res_norm,0,0,0,6,4,4
e_boix_regime+wb_urbpop,11,10,5,16,16,14
gwf_party+e_peaveduc,3,1,1,20,9,5
gwf_party+g_res_norm,2,2,1,23,11,6
gwf_party+l_res_norm,2,1,1,9,7,5
gwf_party+ln_pwd_a,13,12,6,31,16,11
gwf_party+ln_pwd_g,12,8,3,34,20,12
gwf_party+ln_pwd_m,6,2,1,30,15,7
gwf_party+p_res_norm,6,1,1,33,19,15
gwf_party+r_res_norm,0,0,0,8,5,4
gwf_party+wb_urbpop,10,5,3,15,13,13
normpolity+e_peaveduc,6,5,1,24,14,8
normpolity+g_res_norm,2,1,0,19,14,5
normpolity+l_res_norm,3,2,1,7,6,4
normpolity+ln_pwd_a,5,3,2,23,12,8
normpolity+ln_pwd_g,2,1,1,22,15,6
normpolity+ln_pwd_m,3,1,0,24,13,8
normpolity+p_res_norm,4,1,0,26,22,15
normpolity+r_res_norm,0,0,0,7,4,3
normpolity+wb_urbpop,7,6,3,15,15,13
support+e_peaveduc,4,1,1,22,14,10
support+g_res_norm,8,4,0,25,21,17
support+l_res_norm,2,2,1,8,7,5
support+ln_pwd_a,5,3,2,20,11,7
support+ln_pwd_g,1,1,0,21,15,7
support+ln_pwd_m,3,1,0,26,20,11
support+p_res_norm,10,4,0,31,29,26
support+r_res_norm,1,0,0,8,5,5
support+wb_urbpop,12,11,5,19,17,17
