gwid,gwgroupid,religion1,rel1_size,religion2,rel2_size,religion3,rel3_size,language1,lang1_size,language2,lang2_size,language3,lang3_size,phenotype1,pheno1_size,phenotype2,pheno2_size,phenotype3,pheno3_size
2,201000,ARC4,0.56,ATH,0.2,ARC1,0.17,eng,1,,0,,0,eur,1,,0,,0
2,202000,ARC1,0.7,ARC4,0.2,,0,eng,0.91,,0,,0,ame,0.5,eur,0.25,ssa,0.25
2,203000,ARC4,0.78,ATH,0.13,,0,eng,1,,0,,0,ssa,1,,0,,0
2,204000,ARC,0.45,ATH,0.3,,0,eng,1,,0,,0,eas,0.33,sas,0.33,eur,0.33
2,205000,ANI,0.66,ARC,0.25,,0,eng,0.9,,0,,0,ame,1,,0,,0
2,206000,ARC1,0.35,ARI,0.24,ARC4,0.18,eng,1,,0,,0,eur,1,,0,,0
20,2001000,ARC1,0.32,ARC99,0.26,ATH,0.19,eng,1,,0,,0,eur,1,,0,,0
20,2002000,ARC1,0.7,ATH,0.25,,0,fra,1,,0,,0,eur,1,,0,,0
20,2004000,ARC1,0.6,ARC4,0.3,ANI,0.1,eng,0.5,cre,0.13,oji,0.1,ame,1,,0,,0
31,3101000,ARC4B,0.35,ARC5,0.137,ARC1,0.12,bah,1,,0,,0,ssa,1,,,,
31,3102000,ARC4B,0.35,ARC5,0.137,ARC1,0.12,bah,1,,0,,0,eur,1,,,,
40,4001000,ARC1,0.48,ATH,0.25,ANI,0.18,spa,1,,0,,0,eur,1,,0,,0
40,4002000,ARC1,0.46,ANI,0.23,ATH,0.2,spa,1,,0,,0,ssa,0.66,eur,0.34,,0
42,42002000,ANI1,0.5,ARC1,0.5,,0,hat,0.96,spa,0.02,fra,0.01,ssa,1,,0,,0
52,5201000,ERH,0.5,ARC,0.38,ARI,0.1,eng,1,,0,,0,sas,1,,0,,0
52,5202000,ARC4,0.32,ARC1,0.28,ARC99,0.16,eng,1,,0,,0,ssa,1,,0,,0
70,7001000,ARC1,0.87,,0,,0,spa,1,,0,,0,eur,0.6,ame,0.4,,0
70,7002000,ARC1,0.72,ARC4,0.21,,0,yua,0.42,tzh,0.38,ctu,0.08,ame,1,,0,,0
70,7003000,ARC1,0.85,,0,,0,spa,0.67,nhe,0.031,nhw,0.03,ame,1,,0,,0
70,7009000,ARC1,0.87,,0,,0,spa,1,,0,,0,ssa,1,,0,,0
80,8001000,ARC1,0.81,ARC4,0.12,,0,spa,0.5,eng,0.5,,0,ame,0.5,eur,0.5,,0
80,8002000,ARC4,0.29,ATH,0.25,ARC5,0.19,bzj,1,,0,,0,ssa,0.75,ame,0.25,,0
