,gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut,N_CAT_GROUPS,N_GROUPS,power_level
0,2,United States of America,1946,1965,Whites,1000,201000,,0.691,MONOPOLY,,3,4,5
1,2,United States of America,1946,1965,African Americans,3000,203000,,0.124,DISCRIMINATED,False,3,4,0
2,2,United States of America,1946,1965,American Indians,5000,205000,,0.0078,POWERLESS,True,3,4,1
3,2,United States of America,1946,1965,UNCATEGORIZED,0,200000,,0.17720000000000002,POWERLESS,,3,4,1
4,2,United States of America,1966,2008,Whites,1000,201000,,0.691,DOMINANT,,6,7,4
5,2,United States of America,1966,2008,Latinos,2000,202000,,0.125,POWERLESS,False,6,7,1
6,2,United States of America,1966,2008,African Americans,3000,203000,,0.124,POWERLESS,False,6,7,1
7,2,United States of America,1966,2008,Asian Americans,4000,204000,,0.036,POWERLESS,False,6,7,1
8,2,United States of America,1966,2008,American Indians,5000,205000,,0.0078,POWERLESS,True,6,7,1
9,2,United States of America,1966,2008,Arab Americans,6000,206000,,0.0042,POWERLESS,False,6,7,1
10,2,United States of America,1966,2008,UNCATEGORIZED,0,200000,,0.01200000000000001,POWERLESS,,6,7,1
11,2,United States of America,2009,2014,Whites,1000,201000,,0.66,SENIOR PARTNER,False,6,6,3
12,2,United States of America,2009,2014,Latinos,2000,202000,,0.15,JUNIOR PARTNER,False,6,6,2
13,2,United States of America,2009,2014,African Americans,3000,203000,,0.124,JUNIOR PARTNER,False,6,6,2
14,2,United States of America,2009,2014,Asian Americans,4000,204000,,0.044,JUNIOR PARTNER,False,6,6,2
15,2,United States of America,2009,2014,American Indians,5000,205000,,0.0078,POWERLESS,True,6,6,1
16,2,United States of America,2009,2014,Arab Americans,6000,206000,,0.005,POWERLESS,False,6,6,1
17,2,United States of America,2015,2017,Whites,1000,201000,,0.66,SENIOR PARTNER,False,6,6,3
18,2,United States of America,2015,2017,Latinos,2000,202000,,0.15,JUNIOR PARTNER,False,6,6,2
19,2,United States of America,2015,2017,African Americans,3000,203000,,0.124,JUNIOR PARTNER,False,6,6,2
20,2,United States of America,2015,2017,Asian Americans,4000,204000,,0.044,POWERLESS,False,6,6,1
21,2,United States of America,2015,2017,American Indians,5000,205000,,0.0078,POWERLESS,True,6,6,1
22,2,United States of America,2015,2017,Arab Americans,6000,206000,,0.005,POWERLESS,False,6,6,1
23,2,United States of America,2018,2021,Whites,1000,201000,,0.6,DOMINANT,False,6,6,4
24,2,United States of America,2018,2021,Latinos,2000,202000,,0.185,POWERLESS,False,6,6,1
25,2,United States of America,2018,2021,African Americans,3000,203000,,0.134,POWERLESS,False,6,6,1
26,2,United States of America,2018,2021,Asian Americans,4000,204000,,0.059,POWERLESS,False,6,6,1
27,2,United States of America,2018,2021,American Indians,5000,205000,,0.013,POWERLESS,True,6,6,1
28,2,United States of America,2018,2021,Arab Americans,6000,206000,,0.005,POWERLESS,False,6,6,1
29,20,Canada,1946,1960,English speakers,1000,2001000,,0.59,SENIOR PARTNER,True,3,4,3
30,20,Canada,1946,1960,French speakers,2000,2002000,,0.28,JUNIOR PARTNER,True,3,4,2
31,20,Canada,1946,1960,Indigenous peoples,4000,2004000,,0.02,DISCRIMINATED,False,3,4,0
32,20,Canada,1946,1960,UNCATEGORIZED,0,2000000,,0.10999999999999999,POWERLESS,,3,4,1
33,20,Canada,1961,1984,English speakers,1000,2001000,,0.59,SENIOR PARTNER,True,3,4,3
34,20,Canada,1961,1984,French speakers,2000,2002000,,0.28,JUNIOR PARTNER,True,3,4,2
35,20,Canada,1961,1984,Indigenous peoples,4000,2004000,,0.02,POWERLESS,False,3,4,1
