"year","ISO","ISO_No","Name","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_P1","PWD_P2","PWD_P3","PWD_P4","PWD_P5","PWD_P6","PWD_P7","PWD_P8","PWD_P9","PWD_P10","PWD_P11","PWD_P12","PWD_P13","PWD_P14","PWD_P15","PWD_P16","PWD_P17","PWD_P18","PWD_P19","PWD_P20","PWD_P21","PWD_P22","PWD_P23","PWD_P24","PWD_P25","PWD_P26","PWD_P27","PWD_P28","PWD_P29","PWD_P30","PWD_P31","PWD_P32","PWD_P33","PWD_P34","PWD_P35","PWD_P36","PWD_P37","PWD_P38","PWD_P39","PWD_P40","PWD_P41","PWD_P42","PWD_P43","PWD_P44","PWD_P45","PWD_P46","PWD_P47","PWD_P48","PWD_P49","PWD_P50","PWD_P51","PWD_P52","PWD_P53","PWD_P54","PWD_P55","PWD_P56","PWD_P57","PWD_P58","PWD_P59","PWD_P60","PWD_P61","PWD_P62","PWD_P63","PWD_P64","PWD_P65","PWD_P66","PWD_P67","PWD_P68","PWD_P69","PWD_P70","PWD_P71","PWD_P72","PWD_P73","PWD_P74","PWD_P75","PWD_P76","PWD_P77","PWD_P78","PWD_P79","PWD_P80","PWD_P81","PWD_P82","PWD_P83","PWD_P84","PWD_P85","PWD_P86","PWD_P87","PWD_P88","PWD_P89","PWD_P90","PWD_P91","PWD_P92","PWD_P93","PWD_P94","PWD_P95","PWD_P96","PWD_P97","PWD_P98","PWD_P99","PWD_P100"
"2005","RUS","643","Russia","53.8512","54.5895","143672125","8.6","16670601.3","3129.3","612.3","1007.1","0.8","1.8","2.9","4.2","5.7","7.5","9.7","12.1","15.0","18.2","21.9","26.0","30.7","35.9","41.7","48.2","55.4","63.2","71.8","81.1","91.1","101.9","113.7","126.4","139.8","154.5","170.3","187.3","205.7","225.6","246.6","269.6","294.0","320.2","348.1","377.5","408.8","442.2","477.8","514.5","553.3","593.9","637.2","683.6","731.4","780.0","832.1","887.5","945.4","1007.1","1070.6","1137.6","1206.8","1282.6","1360.6","1443.6","1531.7","1621.2","1719.1","1816.0","1919.6","2031.8","2149.8","2270.1","2401.6","2546.2","2685.4","2839.4","2996.9","3164.0","3344.4","3540.0","3728.7","3917.8","4127.7","4344.4","4565.8","4795.5","5045.5","5302.8","5559.5","5815.0","6075.7","6366.2","6657.6","6985.4","7338.0","7673.7","8105.0","8482.8","9034.2","9752.5","10540.3","11572.4","13128.3","14725.0","16677.0","18823.0","22415.1","108048.8"
"2005","IDN","360","Indonesia","-5.021","109.8846","226289468","119.2","1899069.1","2804.6","853.8","949.5","8.6","14.7","20.6","26.7","33.1","39.6","46.2","53.1","60.4","68.1","76.3","85.5","95.6","106.8","119.8","134.9","152.6","172.8","195.5","220.3","246.0","271.6","297.0","322.1","346.4","369.9","392.9","415.9","438.3","460.1","482.3","504.6","527.0","549.0","571.3","593.8","616.3","639.5","663.0","687.1","710.5","734.6","759.8","784.0","809.8","836.3","863.4","891.0","920.4","949.5","980.1","1011.9","1043.5","1076.9","1111.7","1149.3","1189.0","1230.3","1272.6","1318.1","1365.6","1417.6","1476.0","1542.2","1611.6","1689.9","1777.9","1869.0","1969.2","2083.6","2207.7","2339.6","2486.6","2653.3","2826.0","3023.6","3223.0","3464.5","3726.9","3995.0","4298.6","4627.7","4982.3","5405.2","5823.7","6310.3","6822.3","7433.3","8040.9","8686.1","9492.4","10287.5","11163.6","12206.6","13174.6","14239.1","15537.6","17691.9","21164.5","31712.5"
"2005","USA","840","United States","37.6099","-91.8975","294993509","31.8","9268586.0","2161.4","737.7","1111.4","4.0","7.6","11.3","15.3","19.7","24.7","30.3","36.6","43.9","52.2","61.6","72.3","84.3","98.1","113.4","130.3","148.6","168.7","190.1","212.7","236.4","261.1","286.5","313.2","340.4","368.1","396.2","424.6","453.6","483.3","512.8","542.8","573.3","603.3","633.9","664.0","694.4","724.7","755.5","786.8","818.2","849.1","880.6","912.3","944.4","976.9","1009.3","1042.4","1077.0","1111.4","1145.9","1180.4","1215.4","1250.6","1287.8","1323.8","1362.3","1401.5","1441.1","1481.0","1519.8","1560.4","1603.5","1646.7","1691.6","1738.7","1786.3","1834.1","1885.3","1940.2","1996.3","2052.9","2113.8","2176.8","2242.9","2313.7","2387.4","2463.1","2547.3","2637.5","2733.5","2835.2","2955.1","3083.4","3223.0","3384.8","3558.4","3763.7","4004.0","4310.1","4670.9","5138.5","5735.4","6411.3","7372.9","8606.3","10521.1","14521.1","23051.3","64249.1"
"2005","VIR","850","Virgin_Islands_U_S","18.0443325042725","-64.8457870483398","107801","279.4","385.9","717.1","497.1","518.4","33.9","51.2","61.8","76.5","88.7","97.4","106.2","117.3","128.5","140.8","154.9","164.5","172.3","182.7","192.1","200.6","213.0","222.3","231.0","249.9","267.1","283.3","294.3","301.9","311.8","330.2","338.5","347.7","351.6","355.8","361.7","365.2","370.7","382.2","384.8","394.9","402.5","412.5","424.6","427.2","437.1","442.7","447.6","458.2","472.8","478.1","483.1","496.1","511.2","518.4","525.0","529.4","549.0","560.7","567.8","582.8","587.5","592.2","600.4","608.4","608.8","623.8","628.9","639.4","653.8","659.2","683.1","720.0","763.2","790.1","885.8","967.7","1005.5","1097.2","1098.8","1110.3","1127.7","1247.3","1332.9","1350.7","1351.5","1424.1","1446.5","1460.7","1466.8","1533.6","1557.6","1583.7","1678.7","1719.5","1719.5","1806.1","1850.7","1850.7","1905.0","1985.2","1990.3","1990.3","2004.9","2004.9"
"2005","GRL","304","Greenland","66.1095581054688","-50.6635894775391","56949","0.0","2145763.1","347.8","264.9","324.6","12.8","21.8","28.1","34.9","43.2","50.8","57.6","67.8","75.5","81.3","86.9","95.3","107.6","116.2","123.4","131.8","139.6","148.3","160.6","167.3","175.0","185.3","191.5","196.2","199.6","206.1","214.9","217.6","220.6","225.1","226.4","233.4","235.9","238.0","242.8","253.6","256.2","262.3","268.6","275.9","277.6","280.8","286.1","295.6","301.9","306.5","312.9","318.5","322.5","324.6","328.5","333.6","338.7","340.8","344.9","348.2","352.7","358.6","360.3","365.5","370.7","374.7","378.8","383.1","389.1","392.9","400.1","404.7","406.8","410.8","426.9","437.0","450.5","454.3","465.6","472.1","482.0","491.2","500.4","527.4","548.6","565.5","578.3","586.0","593.0","606.5","612.2","631.6","637.5","655.7","667.0","714.0","718.7","749.5","777.7","792.4","813.5","837.2","855.4","897.8"
"2005","CHN","156","China","32.4031","113.7167","1330776379","142.7","9324516.6","5114.7","1098.2","811.0","19.0","33.4","45.5","56.8","67.8","78.8","89.6","100.7","111.8","123.1","134.6","146.2","158.1","170.1","182.3","194.6","207.3","220.0","233.0","246.2","259.7","273.4","287.3","301.4","315.8","330.3","345.1","359.8","374.8","390.1","405.5","421.2","437.2","453.6","470.3","487.4","504.8","523.0","541.6","560.8","580.7","601.2","622.7","645.2","668.7","693.8","720.1","748.2","778.3","811.0","845.9","883.9","926.0","973.0","1025.1","1084.6","1151.3","1226.2","1311.0","1405.1","1513.1","1633.3","1766.5","1916.4","2077.1","2249.4","2439.8","2646.9","2864.4","3103.2","3368.6","3647.6","3938.4","4265.5","4609.7","4979.6","5367.9","5784.9","6232.7","6712.4","7232.2","7776.4","8359.4","9025.8","9732.9","10558.2","11461.0","12471.6","13609.7","14884.4","16270.6","17953.1","19893.0","22205.7","25186.2","28932.2","33994.2","41288.1","55012.6","163423.4"
"2005","AUS","36","Australia","-32.9211","144.7658","20178542","2.6","7665636.0","1816.9","948.6","1619.7","1.3","4.2","8.8","15.1","23.7","35.4","50.8","70.9","94.1","120.5","150.5","182.8","217.5","255.0","292.6","331.7","368.2","409.8","448.6","488.9","531.0","574.0","613.9","655.2","700.1","742.5","782.2","821.0","863.2","898.4","937.1","975.2","1017.8","1056.4","1095.7","1130.6","1166.9","1207.4","1246.1","1281.1","1314.7","1350.2","1384.5","1419.1","1449.6","1483.7","1515.5","1547.8","1584.4","1619.7","1647.3","1678.5","1711.6","1740.4","1768.7","1801.3","1831.8","1861.9","1891.7","1920.9","1954.3","1980.1","2010.3","2043.5","2071.4","2107.4","2137.9","2173.8","2209.3","2238.7","2273.8","2310.0","2346.6","2381.9","2419.4","2465.2","2507.7","2549.5","2591.1","2643.5","2695.2","2746.7","2807.7","2875.8","2944.8","3016.1","3094.4","3189.8","3301.2","3426.4","3584.3","3766.2","3995.1","4361.5","4806.5","5243.9","5811.0","6646.5","7843.0","16449.6"
"2005","BRA","76","Brazil","-17.1102","-45.6536","186127108","21.9","8488262.3","5562.1","1915.3","3599.8","1.7","3.7","6.2","9.4","13.8","19.6","27.5","37.9","52.0","71.0","95.9","127.8","166.7","212.8","264.6","321.6","383.9","452.5","526.0","600.9","682.2","764.9","853.5","943.8","1035.8","1130.4","1223.5","1320.0","1418.9","1518.1","1612.8","1707.9","1807.7","1906.7","2010.3","2106.7","2207.3","2315.2","2421.8","2525.7","2627.2","2729.6","2835.2","2943.6","3045.9","3151.4","3265.3","3372.2","3485.3","3599.8","3709.8","3836.1","3950.1","4070.9","4190.6","4318.6","4453.7","4591.6","4730.8","4879.7","5027.1","5175.4","5330.5","5484.5","5646.4","5829.2","6006.4","6199.4","6394.1","6596.4","6817.2","7052.1","7297.5","7560.5","7852.7","8130.1","8440.8","8749.1","9073.5","9422.6","9821.6","10234.6","10631.1","11061.4","11507.9","11965.4","12409.8","12917.5","13379.9","13945.4","14625.6","15302.4","16119.7","16998.7","17996.3","19342.9","20912.1","23170.2","26588.2","63198.5"
"2005","CAN","124","Canada","46.8179","-87.4266","32164312","3.3","9681007.4","2721.5","1033.4","2031.2","1.5","3.4","5.8","8.7","12.4","16.8","22.3","28.8","36.6","46.1","57.5","71.7","88.2","108.1","132.0","159.8","191.6","229.4","270.3","312.7","362.3","411.9","465.7","518.8","577.6","634.3","695.8","754.1","820.0","880.5","938.9","998.5","1059.1","1120.2","1180.7","1242.0","1303.7","1366.5","1425.2","1481.5","1540.6","1597.7","1656.2","1710.5","1762.8","1823.3","1873.0","1929.2","1983.7","2031.2","2083.5","2133.4","2180.4","2228.3","2285.0","2334.8","2380.6","2432.6","2477.2","2523.8","2576.1","2629.2","2680.9","2740.8","2803.3","2864.5","2928.2","2997.2","3063.0","3134.0","3204.8","3282.4","3350.5","3429.7","3523.6","3621.6","3704.0","3826.4","3935.1","4070.6","4196.6","4329.6","4507.9","4665.3","4848.7","5074.4","5285.7","5533.1","5827.9","6110.4","6493.3","6907.3","7472.5","8153.6","8806.4","9544.3","10605.6","12128.7","14354.4","29003.5"
"2005","CHL","152","Chile","-34.1574935913086","-71.3392562866211","16182713","21.4","756229.5","3723.9","1051.1","1934.2","1.6","3.8","5.8","8.2","11.5","16.3","22.6","30.6","39.5","48.2","57.3","66.2","75.7","85.8","96.2","107.8","120.9","135.4","151.6","170.2","189.7","211.2","235.2","261.5","289.6","318.7","348.9","380.0","415.4","457.3","498.5","540.9","587.1","635.8","691.7","745.8","813.6","880.5","950.2","1020.0","1099.2","1181.0","1267.8","1363.8","1462.9","1563.5","1660.6","1755.0","1838.5","1934.2","2028.9","2130.8","2260.3","2348.3","2457.2","2561.6","2684.7","2769.5","2912.1","3053.2","3211.1","3382.1","3541.3","3682.8","3825.0","3977.8","4160.2","4399.9","4570.0","4759.9","5038.3","5253.1","5489.7","5778.5","6064.8","6398.8","6671.9","6929.6","7280.4","7648.7","7999.1","8214.7","8436.1","8842.1","9106.4","9288.2","9576.3","9948.0","10331.3","10684.4","11095.1","11433.0","11776.5","12091.2","12833.6","13324.1","13813.2","14828.9","15812.7","18139.3"
