year,ISO,ISO_No,Name,PWC_Lat,PWC_Lon,Pop,Density,Area,PWD_A,PWD_G,PWD_M,PWD_P1,PWD_P2,PWD_P3,PWD_P4,PWD_P5,PWD_P6,PWD_P7,PWD_P8,PWD_P9,PWD_P10,PWD_P11,PWD_P12,PWD_P13,PWD_P14,PWD_P15,PWD_P16,PWD_P17,PWD_P18,PWD_P19,PWD_P20,PWD_P21,PWD_P22,PWD_P23,PWD_P24,PWD_P25,PWD_P26,PWD_P27,PWD_P28,PWD_P29,PWD_P30,PWD_P31,PWD_P32,PWD_P33,PWD_P34,PWD_P35,PWD_P36,PWD_P37,PWD_P38,PWD_P39,PWD_P40,PWD_P41,PWD_P42,PWD_P43,PWD_P44,PWD_P45,PWD_P46,PWD_P47,PWD_P48,PWD_P49,PWD_P50,PWD_P51,PWD_P52,PWD_P53,PWD_P54,PWD_P55,PWD_P56,PWD_P57,PWD_P58,PWD_P59,PWD_P60,PWD_P61,PWD_P62,PWD_P63,PWD_P64,PWD_P65,PWD_P66,PWD_P67,PWD_P68,PWD_P69,PWD_P70,PWD_P71,PWD_P72,PWD_P73,PWD_P74,PWD_P75,PWD_P76,PWD_P77,PWD_P78,PWD_P79,PWD_P80,PWD_P81,PWD_P82,PWD_P83,PWD_P84,PWD_P85,PWD_P86,PWD_P87,PWD_P88,PWD_P89,PWD_P90,PWD_P91,PWD_P92,PWD_P93,PWD_P94,PWD_P95,PWD_P96,PWD_P97,PWD_P98,PWD_P99,PWD_P100
2020,RUS,643,Russia,53.7622,53.7187,145934460,8.8,16670601.2,3865.1,700.4,1086.3,0.8,1.6,2.6,3.8,5.3,7.2,9.5,12.3,15.9,20.1,25.1,30.8,37.3,44.4,52.4,61,70.3,80.2,90.8,102.2,114,126.5,139.7,153.7,168.4,183.9,200.5,218,236.6,255.9,276.6,298.7,322.5,347.5,374.5,403.4,434.1,467,501.5,539.1,579.7,621.8,667.1,717.4,769.6,825.6,884.1,948,1014.7,1086.3,1162.1,1240.8,1321.4,1406.8,1498.6,1595.5,1696.9,1802.1,1923.1,2042.9,2170.9,2306.7,2454.4,2604.8,2760.1,2924,3105.3,3292.7,3479.7,3685,3897.8,4116.1,4360.3,4609,4864.9,5109,5368.7,5635.1,5901,6191.5,6518.4,6821.1,7146.4,7451.8,7794.5,8205.1,8629.5,9136.5,9868.7,10781,11919.3,13098.5,14531.5,16383.5,18079.9,19743.5,21867.7,24768.3,29130,105775
2020,IDN,360,Indonesia,-4.827971458,110.4452972,273523621,143.9,1901231.7,3533.4,976.8,1098,10.1,17.2,24.1,30.8,37.7,44.7,51.9,59.2,66.8,74.8,83.1,91.9,100.9,110.5,120.6,131.3,142.8,154.9,167.8,181.5,196.3,212,229,247.1,266.7,287.2,308.9,332.4,357.9,384.2,412,441.8,472.8,503.7,535.1,567.6,600.9,634.5,668.6,703.2,737.6,773.5,810.5,847.3,886.2,925.2,965.8,1007.3,1051.4,1098,1144.3,1194.6,1245.6,1298.8,1354,1414.2,1476.2,1541.5,1617,1695,1776.9,1871.3,1970.1,2083.2,2208.9,2346.8,2501.4,2673.6,2873.8,3070.4,3292,3522,3764.6,4011.8,4289.5,4566.6,4882.9,5228.5,5568.1,5954.1,6343.8,6760,7227.4,7691.9,8231.5,8742.3,9362.2,9939.4,10655,11306,12072.2,12905.2,13863.1,14782.8,15709,16591.6,17817.7,19657.8,24978.1,35041.1
2020,USA,840,United States,37.3172,-92.4788,331002647,35.7,9268577.2,2234.9,841.7,1268.8,4.7,9.2,14.1,19.3,25.1,31.6,38.9,47.1,56.4,67,78.9,92.4,107.7,124.4,142.9,163.3,185.5,209,233.8,259.7,286.7,314.8,344.2,374,404.9,436.3,468,500.5,532.8,565.6,598.8,631.7,665.2,699.4,733,767,801.6,836.1,870.6,905.7,941.2,975.8,1011.6,1047.8,1083.4,1119.4,1156.5,1194.3,1231.7,1268.8,1307.4,1345.5,1385.7,1427,1468.2,1508.6,1550.2,1593.5,1637.3,1681.5,1726.3,1771.2,1819.7,1869,1919.5,1969.5,2023.9,2078.2,2133.6,2192.5,2254.9,2318.1,2381.4,2447.7,2519.9,2595.7,2671.9,2750.6,2836.8,2928.2,3026.9,3128.5,3246.9,3363.8,3499.2,3645.8,3811.7,3994.9,4206.3,4461,4765.8,5157.8,5613.6,6231.2,6986.5,8116,9754.3,13193.8,21830.7,64591.3
2020,VIR,850,Virgin_Islands_U_S,18.05821991,-64.84861755,104423,270.6,385.9,683,490.9,518.6,26.4,41.6,52.6,68.6,82.4,92.9,117.8,133.9,155.3,169.9,181,190,194.5,201.7,210.3,219.6,227.5,235.4,258.3,273.1,280.1,286.6,293.1,308.7,319.3,323.7,340.8,348.1,367.3,374.6,380.5,387.6,400.6,407.5,414.4,427.2,435.8,440.8,443.4,455.7,470.1,475,485.7,489.6,491.8,495.4,501.7,506.3,517.3,518.6,532.7,545.2,554.9,560.9,567.4,569,577.8,588.1,596.7,604.4,609,613.2,632,644.7,659.3,665.7,670.5,689.4,711.2,713.2,748.8,770.1,804.7,847.3,929.7,1011.7,1014.6,1171,1218.4,1243.1,1272.6,1280.4,1297.1,1341.7,1388.3,1417.2,1429.3,1488,1500,1526.3,1557.2,1565.4,1575.6,1636,1790.2,1876.9,1876.9,1890.6,1998.7,1998.7
2020,GRL,304,Greenland,65.9936142,-50.67371368,56771,0,2145763.1,467.4,325.3,433.3,12.6,20.6,26.2,34.9,44.6,52,59.8,65.3,72.6,79.9,85.7,94.8,103.9,112.1,119.9,128,132.7,140.2,147,151.3,156.1,161.8,167.6,177.5,188.6,196.4,208.7,215.8,224.2,228.6,241,245.2,254.9,270.8,276.5,285.9,290,301.8,308.6,319.9,323.9,333.6,343.6,348.5,373.8,388.9,393.3,409.7,418,433.3,440.7,452,461.6,475.7,486.9,495.5,514.3,539.3,545.9,550.5,563.4,569.9,578.1,597.6,606.7,612.3,614.9,626.8,635.8,641.5,654.1,658.3,668.6,694.9,697,721.9,738.7,739.3,742.2,752.7,790.2,802.7,820.2,828.1,843.5,864.1,900,913.1,925.1,939.8,943.4,944.6,951.6,1016.2,1038.1,1091.3,1092.1,1113.2,1114,1135.7
2020,CHN,156,China,32.3261,113.8171,1439323774,154.4,9324516.6,7270.8,1460.4,1219.1,17.7,31.5,44,55.9,68,80.3,93.1,106.3,120,134.2,148.5,163.3,178.3,193.6,209.2,225,241.2,257.8,274.6,291.6,309,326.7,344.7,363.2,382.2,401.5,421.3,441.4,462.3,483.8,506.1,529.1,553.1,577.9,603.7,631,659.2,688.4,718.8,750.7,785.2,821.3,859.9,900.9,944.5,991.3,1041.6,1096,1155.2,1219.1,1286.5,1360.8,1444.3,1533.9,1631.7,1738.5,1857.4,1983.8,2123.6,2271.4,2436.4,2614,2805.6,3012.3,3240.9,3483,3744.2,4022.2,4318,4625.3,4954.6,5305.2,5677.8,6079,6506.8,6964.6,7460.9,7999.8,8584,9199.6,9884.1,10630.2,11439.8,12395.6,13423.9,14574.4,15906.8,17290.4,19008.6,20823.1,23059.8,25499.6,28465.4,32032.7,36142.7,41260.6,47753.7,57029.1,75504.2,365317.8
2020,AUS,36,Australia,-32.92074585,144.7640076,25499880,3.3,7665636,2307.2,1189.8,2058.3,1.4,4.3,8.8,15,23.9,36.9,55.3,78.6,107.6,142.6,183.3,229.8,278.3,327.8,378,429.6,481.1,532.6,585.3,635.3,689,746.6,799.2,852.6,904.4,956.4,1006.4,1054.9,1106.9,1152,1201.4,1251,1302.9,1354.5,1405.5,1447.1,1492.6,1540.9,1590.5,1631.8,1680.1,1728,1770.3,1811.2,1852.9,1894,1931.5,1971.9,2013.5,2058.3,2100.5,2139.7,2176.8,2213.9,2251.4,2291.6,2330.2,2365.8,2400.2,2438.5,2479.3,2516,2551.6,2595,2637.1,2680.1,2719.3,2759.6,2801.6,2841.7,2890.3,2936.7,2980.1,3018.9,3065.8,3120,3181.6,3238.4,3300.3,3356.9,3419.2,3482.7,3560.4,3633.9,3726.1,3838.8,3940,4030.1,4166.8,4331.8,4529.6,4757.4,5028.7,5542.6,6101.2,6621.5,7309.2,8413.4,9947,20788.3
2020,BRA,76,Brazil,-16.81271172,-45.79795456,212559408,25,8488262.3,6256.5,2258.7,4228.8,1.8,3.9,6.8,10.9,16.9,25.3,36.8,52.2,72.7,99.5,133.6,175,224.7,282,345.2,413.8,488.9,572.7,659.4,749.4,846,946.5,1048.3,1151.2,1259.8,1366.3,1476,1585.9,1695.5,1807.1,1918.6,2037.1,2148,2267.3,2382.5,2500.7,2618.9,2734.8,2851.3,2971.8,3094.9,3219.4,3340,3461.7,3582.2,3703.7,3830.2,3963.6,4096.1,4228.8,4364.5,4503.8,4643.8,4788.9,4932.9,5097.7,5252.5,5413.2,5573.5,5741.7,5898.5,6066.7,6269.8,6449.1,6662.3,6849.1,7060.3,7294.9,7508.2,7734.5,7979.3,8235.5,8490.6,8793.1,9082.6,9402.2,9720.4,10030.1,10343.1,10688,11067.2,11468.5,11882.6,12276.8,12741,13191.7,13652.1,14176,14780.9,15366.5,15990.3,16680.6,17531.5,18453.3,19479.9,20805.3,22274.5,24631.1,28450.8,66836.3
2020,CAN,124,Canada,46.89425278,-88.24702454,37742156,3.9,9681007.4,3292.7,1307.2,2548.6,1.8,4.1,7.1,10.8,15.6,21.6,29,38.2,49.7,63.8,80.6,100.8,125.2,154.8,188.1,227.1,272.5,321,377.8,433.8,496.4,560.1,625.6,697.7,761.8,832.2,903.4,977.3,1055.4,1127.9,1203,1272,1341,1417.5,1497.5,1570.2,1641.4,1718.3,1793.7,1863.1,1936.9,2002.4,2070.4,2136.3,2201.7,2276.5,2348.2,2413.4,2483.9,2548.6,2614.4,2670.3,2734.3,2801.3,2858.1,2919.7,2980.7,3044.4,3106.4,3185,3256.6,3332.2,3404.8,3479.5,3544.3,3623,3704.2,3799.4,3874.5,3964.4,4049.2,4143.2,4243.9,4338.9,4448.1,4570.7,4683.9,4810.1,4935.8,5089.5,5247.7,5404.2,5603.4,5813.8,6012.7,6237.7,6475,6728.7,7027.9,7385.4,7762.4,8183.7,8603.2,9181.8,9798,10532.9,11792.4,13262.4,16221.6,32683.6
2020,CHL,152,Chile,-34.02973557,-71.30969238,19116209,25.3,756229.5,5034,1500.5,3027.3,1.6,4,6.6,9.9,13.9,18.9,25.2,32.8,41.8,52.4,65,80.6,99.1,121.8,148.2,177.8,208.4,243.5,280.7,319.2,362.4,407.9,454.1,508.4,557.3,609.1,672.9,732.9,802.1,872.2,945.5,1024.3,1105.5,1195.7,1277.1,1362.9,1469.7,1585.4,1696.2,1829.5,1966.1,2084.6,2198.8,2330.9,2442.3,2580.8,2701.8,2798.6,2906.9,3027.3,3115.1,3228.6,3344.8,3449.2,3559.1,3663,3808.4,3932.1,4065.5,4173.2,4314.8,4453.8,4579.7,4764.5,4946,5123.4,5332.8,5492.6,5643.1,5777.9,5903.7,6048.3,6193.1,6386.4,6625.6,6889.6,7092.6,7313,7682.3,7969.3,8370.9,8731,9129.6,9620.7,10118.9,10632.8,11160.6,11740.7,12154.8,12937.6,14742.8,16325.3,18041.6,19001.8,19825.8,21064,22907.3,24696.1,26089.5,27876.9
