WordNo,Meaning,Word,LangCode,LangName
1,I,ane,bej,BEDJA_BEDAWI
2,you,uk,bej,BEDJA_BEDAWI
3,we,on,bej,BEDJA_BEDAWI
11,one,gal,bej,BEDJA_BEDAWI
12,two,male,bej,BEDJA_BEDAWI
18,person,XXX,bej,BEDJA_BEDAWI
19,fish,aSi,bej,BEDJA_BEDAWI
21,dog,yas,bej,BEDJA_BEDAWI
22,louse,ibab,bej,BEDJA_BEDAWI
23,tree,XXX,bej,BEDJA_BEDAWI
25,leaf,XXX,bej,BEDJA_BEDAWI
28,skin,gale,bej,BEDJA_BEDAWI
30,blood,boy,bej,BEDJA_BEDAWI
31,bone,mitat,bej,BEDJA_BEDAWI
34,horn,d7a,bej,BEDJA_BEDAWI
39,ear,angw~il,bej,BEDJA_BEDAWI
40,eye,gw~7ad,bej,BEDJA_BEDAWI
41,nose,ginuf,bej,BEDJA_BEDAWI
43,tooth,kw~ire,bej,BEDJA_BEDAWI
44,tongue,hadid,bej,BEDJA_BEDAWI
47,knee,XXX,bej,BEDJA_BEDAWI
48,hand,XXX,bej,BEDJA_BEDAWI
51,breast,XXX,bej,BEDJA_BEDAWI
53,liver,se,bej,BEDJA_BEDAWI
54,drink,gibit,bej,BEDJA_BEDAWI
57,see,erh,bej,BEDJA_BEDAWI
58,hear,masu,bej,BEDJA_BEDAWI
61,die,yay,bej,BEDJA_BEDAWI
66,come,7i,bej,BEDJA_BEDAWI
72,sun,XXX,bej,BEDJA_BEDAWI
74,star,hayuk,bej,BEDJA_BEDAWI
75,water,XXX,bej,BEDJA_BEDAWI
77,stone,7awe,bej,BEDJA_BEDAWI
82,fire,n7e,bej,BEDJA_BEDAWI
85,path,salal,bej,BEDJA_BEDAWI
86,mountain,reba,bej,BEDJA_BEDAWI
92,night,hawad,bej,BEDJA_BEDAWI
95,full,atab,bej,BEDJA_BEDAWI
96,new,XXX,bej,BEDJA_BEDAWI
100,name,sim,bej,BEDJA_BEDAWI
1,I,XXX,tzm,AYT_SEGHROUCHEN
2,you,XXX,tzm,AYT_SEGHROUCHEN
3,we,XXX,tzm,AYT_SEGHROUCHEN
11,one,idZ,tzm,AYT_SEGHROUCHEN
12,two,snath~,tzm,AYT_SEGHROUCHEN
18,person,bnadm,tzm,AYT_SEGHROUCHEN
19,fish,aslm,tzm,AYT_SEGHROUCHEN
21,dog,aidi,tzm,AYT_SEGHROUCHEN
22,louse,XXX,tzm,AYT_SEGHROUCHEN
23,tree,sZrX~th~,tzm,AYT_SEGHROUCHEN
25,leaf,XXX,tzm,AYT_SEGHROUCHEN
28,skin,aXidX~urX~,tzm,AYT_SEGHROUCHEN
30,blood,idamn,tzm,AYT_SEGHROUCHEN
31,bone,isX~,tzm,AYT_SEGHROUCHEN
34,horn,iS,tzm,AYT_SEGHROUCHEN
39,ear,amzX~uX,tzm,AYT_SEGHROUCHEN
40,eye,th~itX~,tzm,AYT_SEGHROUCHEN
41,nose,th~inzar,tzm,AYT_SEGHROUCHEN
43,tooth,th~imsth~,tzm,AYT_SEGHROUCHEN
44,tongue,ils,tzm,AYT_SEGHROUCHEN
47,knee,fud,tzm,AYT_SEGHROUCHEN
48,hand,fus,tzm,AYT_SEGHROUCHEN
51,breast,if,tzm,AYT_SEGHROUCHEN
53,liver,th~sa,tzm,AYT_SEGHROUCHEN
54,drink,sw,tzm,AYT_SEGHROUCHEN
57,see,zX~rX~,tzm,AYT_SEGHROUCHEN
58,hear,sl,tzm,AYT_SEGHROUCHEN
61,die,mth~,tzm,AYT_SEGHROUCHEN
66,come,rX~ad,tzm,AYT_SEGHROUCHEN
72,sun,th~afuith~,tzm,AYT_SEGHROUCHEN
74,star,ith~ri,tzm,AYT_SEGHROUCHEN
75,water,aman,tzm,AYT_SEGHROUCHEN
77,stone,azX~rX~u,tzm,AYT_SEGHROUCHEN
82,fire,th~imsi,tzm,AYT_SEGHROUCHEN
85,path,abrid,tzm,AYT_SEGHROUCHEN
86,mountain,lXari,tzm,AYT_SEGHROUCHEN
92,night,XyidX~,tzm,AYT_SEGHROUCHEN
95,full,XXX,tzm,AYT_SEGHROUCHEN
96,new,XXX,tzm,AYT_SEGHROUCHEN
100,name,ism,tzm,AYT_SEGHROUCHEN
1,I,N3C,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
2,you,S3k,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
3,we,n3Cnin,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
11,one,ij3n,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
12,two,%8nay3n,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
18,person,XXX,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
19,fish,asl3m,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
21,dog,ay8i,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
22,louse,8iSi8,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
23,tree,%s3Z3r8,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
25,leaf,%lw3rq,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
28,skin,il3m,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
30,blood,i8am3n,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
31,bone,iy3s,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
34,horn,iS,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
39,ear,8imj3t,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
40,eye,8it7,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
41,nose,8inz3r8,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
43,tooth,tixm3st,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
44,tongue,il3s,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
47,knee,fud,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
48,hand,fus,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
51,breast,if3f,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
53,liver,tsa,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
54,drink,su,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
57,see,z73r,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
58,hear,s3l,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
61,die,3m38,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
66,come,as3d,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
72,sun,8fuy8,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
74,star,i8ri,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
75,water,aman,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
77,stone,%8awqi8,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
82,fire,8imsi,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
85,path,abri8,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
86,mountain,a8rar,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
92,night,id7,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
95,full,Car,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
96,new,%l3Zdi8,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
100,name,%lis3m,rif,BENI_SNOUS_WESTERN_ALGERIAN_BERBER
1,I,n3k,kab,KABYLE
2,you,k3C,kab,KABYLE
3,we,n3kw~ni,kab,KABYLE
11,one,yiw3n,kab,KABYLE
12,two,sin,kab,KABYLE
18,person,%bnadem,kab,KABYLE
19,fish,asl3m,kab,KABYLE
21,dog,aydi,kab,KABYLE
22,louse,tilkit,kab,KABYLE
23,tree,XXX,kab,KABYLE
25,leaf,if3r,kab,KABYLE
28,skin,agw~lim,kab,KABYLE
30,blood,idam3n,kab,KABYLE
31,bone,ix3s,kab,KABYLE
34,horn,iS,kab,KABYLE
39,ear,am3zux,kab,KABYLE
40,eye,tit,kab,KABYLE
41,nose,anzar3n,kab,KABYLE
43,tooth,tuxm3st,kab,KABYLE
44,tongue,il3s,kab,KABYLE
47,knee,agw~3Srir,kab,KABYLE
48,hand,afus,kab,KABYLE
51,breast,idmar3n,kab,KABYLE
53,liver,tasa,kab,KABYLE
54,drink,s3w,kab,KABYLE
57,see,wali,kab,KABYLE
58,hear,s3l,kab,KABYLE
61,die,3m3t,kab,KABYLE
66,come,as,kab,KABYLE
72,sun,itiZ,kab,KABYLE
74,star,itri,kab,KABYLE
75,water,aman,kab,KABYLE
77,stone,adxax,kab,KABYLE
82,fire,tim3s,kab,KABYLE
85,path,abrid,kab,KABYLE
86,mountain,adrar,kab,KABYLE
92,night,id,kab,KABYLE
95,full,aCaran,kab,KABYLE
96,new,XXX,kab,KABYLE
100,name,is3m,kab,KABYLE
1,I,nak,thv,TAMAHAQ_TAHAGGART
2,you,kay,thv,TAMAHAQ_TAHAGGART
3,we,nakaned,thv,TAMAHAQ_TAHAGGART
11,one,iyan,thv,TAMAHAQ_TAHAGGART
12,two,3ssin,thv,TAMAHAQ_TAHAGGART
18,person,%awadam,thv,TAMAHAQ_TAHAGGART
19,fish,asulmay,thv,TAMAHAQ_TAHAGGART
21,dog,eydi,thv,TAMAHAQ_TAHAGGART
22,louse,tilik,thv,TAMAHAQ_TAHAGGART
23,tree,aSek,thv,TAMAHAQ_TAHAGGART
25,leaf,afraw,thv,TAMAHAQ_TAHAGGART
28,skin,alam,thv,TAMAHAQ_TAHAGGART
30,blood,ahni,thv,TAMAHAQ_TAHAGGART
31,bone,axas,thv,TAMAHAQ_TAHAGGART
34,horn,is3k,thv,TAMAHAQ_TAHAGGART
39,ear,tamazuk,thv,TAMAHAQ_TAHAGGART
40,eye,tet,thv,TAMAHAQ_TAHAGGART
41,nose,ti5har,thv,TAMAHAQ_TAHAGGART
43,tooth,esen,thv,TAMAHAQ_TAHAGGART
44,tongue,il3s,thv,TAMAHAQ_TAHAGGART
47,knee,afud,thv,TAMAHAQ_TAHAGGART
48,hand,afus,thv,TAMAHAQ_TAHAGGART
51,breast,efaf,thv,TAMAHAQ_TAHAGGART
53,liver,awsa,thv,TAMAHAQ_TAHAGGART
54,drink,3s3w,thv,TAMAHAQ_TAHAGGART
57,see,3n3y,thv,TAMAHAQ_TAHAGGART
58,hear,3s3l,thv,TAMAHAQ_TAHAGGART
61,die,amat,thv,TAMAHAQ_TAHAGGART
66,come,as,thv,TAMAHAQ_TAHAGGART
72,sun,tafuk,thv,TAMAHAQ_TAHAGGART
74,star,atri,thv,TAMAHAQ_TAHAGGART
75,water,aman,thv,TAMAHAQ_TAHAGGART
77,stone,tahunt,thv,TAMAHAQ_TAHAGGART
82,fire,tim3s,thv,TAMAHAQ_TAHAGGART
85,path,abaraqa,thv,TAMAHAQ_TAHAGGART
86,mountain,adrar,thv,TAMAHAQ_TAHAGGART
92,night,ahad,thv,TAMAHAQ_TAHAGGART
95,full,adkar,thv,TAMAHAQ_TAHAGGART
96,new,iynay,thv,TAMAHAQ_TAHAGGART
100,name,is3m,thv,TAMAHAQ_TAHAGGART
1,I,nak7,thz,TAMAJEQ_TAYART_AIR
2,you,kay,thz,TAMAJEQ_TAYART_AIR
3,we,n3k3ni,thz,TAMAJEQ_TAYART_AIR
11,one,3yan,thz,TAMAJEQ_TAYART_AIR
12,two,3Sin,thz,TAMAJEQ_TAYART_AIR
18,person,%awedan,thz,TAMAJEQ_TAYART_AIR
19,fish,%kifi,thz,TAMAJEQ_TAYART_AIR
21,dog,iji,thz,TAMAJEQ_TAYART_AIR
22,louse,C3lek,thz,TAMAJEQ_TAYART_AIR
23,tree,eSek,thz,TAMAJEQ_TAYART_AIR
25,leaf,af7r3nk3t,thz,TAMAJEQ_TAYART_AIR
28,skin,elam,thz,TAMAJEQ_TAYART_AIR
30,blood,ezni,thz,TAMAJEQ_TAYART_AIR
31,bone,exas,thz,TAMAJEQ_TAYART_AIR
34,horn,is3k7,thz,TAMAJEQ_TAYART_AIR
39,ear,tand73r3k,thz,TAMAJEQ_TAYART_AIR
40,eye,C3t7,thz,TAMAJEQ_TAYART_AIR
41,nose,C3nZaren,thz,TAMAJEQ_TAYART_AIR
43,tooth,eSen,thz,TAMAJEQ_TAYART_AIR
44,tongue,il3s,thz,TAMAJEQ_TAYART_AIR
47,knee,3fud,thz,TAMAJEQ_TAYART_AIR
48,hand,3fus,thz,TAMAJEQ_TAYART_AIR
51,breast,efaf,thz,TAMAJEQ_TAYART_AIR
53,liver,tas7a,thz,TAMAJEQ_TAYART_AIR
54,drink,3Swu,thz,TAMAJEQ_TAYART_AIR
57,see,3n73y,thz,TAMAJEQ_TAYART_AIR
58,hear,3slu,thz,TAMAJEQ_TAYART_AIR
61,die,am7at,thz,TAMAJEQ_TAYART_AIR
66,come,as7u,thz,TAMAJEQ_TAYART_AIR
72,sun,t3f7uk,thz,TAMAJEQ_TAYART_AIR
74,star,atr7i,thz,TAMAJEQ_TAYART_AIR
75,water,am7an,thz,TAMAJEQ_TAYART_AIR
77,stone,t3wint,thz,TAMAJEQ_TAYART_AIR
82,fire,temse,thz,TAMAJEQ_TAYART_AIR
85,path,tar7ayt,thz,TAMAJEQ_TAYART_AIR
86,mountain,adxax,thz,TAMAJEQ_TAYART_AIR
92,night,ehad7,thz,TAMAJEQ_TAYART_AIR
95,full,3k3r,thz,TAMAJEQ_TAYART_AIR
96,new,iynay,thz,TAMAJEQ_TAYART_AIR
100,name,is3n,thz,TAMAJEQ_TAYART_AIR
1,I,nak,taq,TAMASHEQ
2,you,kay,taq,TAMASHEQ
3,we,nakaned7,taq,TAMASHEQ
11,one,iyan,taq,TAMASHEQ
12,two,3sin,taq,TAMASHEQ
18,person,%awad3m,taq,TAMASHEQ
