era,e_migdppcln,logpop,l_pwd_a,Elr,W4,e_peaveduc
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(-0.001, 0.312]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.312, 0.492]",
1,"(-1.253, 0.415]",,,,"(0.492, 0.706]",
