Outcome,OutcomeCategory,Model,Stat,Result
PublicGood,EndogPublicGoods,W4+ln_pwd_a,betap,      0.10
PublicGood,EndogPublicGoods,W4+ln_pwd_a,tstatp,      1.83
PublicGood,EndogPublicGoods,W4+ln_pwd_a,AIC, -15649.92
PublicGood,EndogPublicGoods,W4+ln_pwd_a,BIC, -15503.16
PublicGood,EndogPublicGoods,W4+ln_pwd_a,loglike,   7849.14
PublicGood,EndogPublicGoods,W4+ln_pwd_a/W4,betaw,      0.15
PublicGood,EndogPublicGoods,W4+ln_pwd_a/W4,tstatw,      4.32
PublicGood,EndogPublicGoods,W4+ln_pwd_a/W4,AIC, -15636.42
PublicGood,EndogPublicGoods,W4+ln_pwd_a/W4,BIC, -15495.76
PublicGood,EndogPublicGoods,W4+ln_pwd_a/W4,loglike,   7841.37
PublicGood,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,betap,      0.11
PublicGood,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,tstatp,      2.01
PublicGood,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,AIC, -15363.80
PublicGood,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,BIC, -15223.14
PublicGood,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,loglike,   7705.06
PublicGood,EndogPublicGoods,W4+ln_pwd_g,betap,      0.09
PublicGood,EndogPublicGoods,W4+ln_pwd_g,tstatp,      0.89
PublicGood,EndogPublicGoods,W4+ln_pwd_g,AIC, -15639.96
PublicGood,EndogPublicGoods,W4+ln_pwd_g,BIC, -15493.20
PublicGood,EndogPublicGoods,W4+ln_pwd_g,loglike,   7844.16
PublicGood,EndogPublicGoods,W4+ln_pwd_g/W4,betaw,      0.15
PublicGood,EndogPublicGoods,W4+ln_pwd_g/W4,tstatw,      4.32
PublicGood,EndogPublicGoods,W4+ln_pwd_g/W4,AIC, -15636.42
PublicGood,EndogPublicGoods,W4+ln_pwd_g/W4,BIC, -15495.76
PublicGood,EndogPublicGoods,W4+ln_pwd_g/W4,loglike,   7841.37
PublicGood,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,betap,      0.12
PublicGood,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,tstatp,      1.15
PublicGood,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,AIC, -15356.79
PublicGood,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,BIC, -15216.13
PublicGood,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,loglike,   7701.56
PublicGood,EndogPublicGoods,W4+ln_pwd_m,betap,      0.09
PublicGood,EndogPublicGoods,W4+ln_pwd_m,tstatp,      1.43
PublicGood,EndogPublicGoods,W4+ln_pwd_m,AIC, -15645.80
PublicGood,EndogPublicGoods,W4+ln_pwd_m,BIC, -15499.05
PublicGood,EndogPublicGoods,W4+ln_pwd_m,loglike,   7847.08
PublicGood,EndogPublicGoods,W4+ln_pwd_m/W4,betaw,      0.15
PublicGood,EndogPublicGoods,W4+ln_pwd_m/W4,tstatw,      4.32
PublicGood,EndogPublicGoods,W4+ln_pwd_m/W4,AIC, -15636.42
PublicGood,EndogPublicGoods,W4+ln_pwd_m/W4,BIC, -15495.76
PublicGood,EndogPublicGoods,W4+ln_pwd_m/W4,loglike,   7841.37
PublicGood,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,betap,      0.11
PublicGood,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,tstatp,      1.66
PublicGood,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,AIC, -15365.98
PublicGood,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,BIC, -15225.32
PublicGood,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,loglike,   7706.15
PublicGood,EndogPublicGoods,W4+wb_urbpop,betap,      0.00
PublicGood,EndogPublicGoods,W4+wb_urbpop,tstatp,      1.87
PublicGood,EndogPublicGoods,W4+wb_urbpop,AIC, -24624.92
PublicGood,EndogPublicGoods,W4+wb_urbpop,BIC, -24168.64
PublicGood,EndogPublicGoods,W4+wb_urbpop,loglike,  12376.91
PublicGood,EndogPublicGoods,W4+wb_urbpop/W4,betaw,      0.25
PublicGood,EndogPublicGoods,W4+wb_urbpop/W4,tstatw,      8.32
PublicGood,EndogPublicGoods,W4+wb_urbpop/W4,AIC, -24545.48
PublicGood,EndogPublicGoods,W4+wb_urbpop/W4,BIC, -24096.32
PublicGood,EndogPublicGoods,W4+wb_urbpop/W4,loglike,  12336.17
PublicGood,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,betap,      0.00
PublicGood,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,tstatp,      2.63
PublicGood,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,AIC, -22971.01
PublicGood,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,BIC, -22521.85
PublicGood,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,loglike,  11548.94
PublicGood,EndogPublicGoods,W4+l_res_norm,betap,     -0.14
PublicGood,EndogPublicGoods,W4+l_res_norm,tstatp,     -1.12
PublicGood,EndogPublicGoods,W4+l_res_norm,AIC, -25233.40
PublicGood,EndogPublicGoods,W4+l_res_norm,BIC, -24780.16
PublicGood,EndogPublicGoods,W4+l_res_norm,loglike,  12681.17
PublicGood,EndogPublicGoods,W4+l_res_norm/W4,betaw,      0.24
PublicGood,EndogPublicGoods,W4+l_res_norm/W4,tstatw,      7.96
PublicGood,EndogPublicGoods,W4+l_res_norm/W4,AIC, -25088.24
PublicGood,EndogPublicGoods,W4+l_res_norm/W4,BIC, -24642.07
PublicGood,EndogPublicGoods,W4+l_res_norm/W4,loglike,  12607.58
PublicGood,EndogPublicGoods,W4+l_res_norm/l_res_norm,betap,     -0.19
