Outcome,OutcomeCategory,Model,Stat,Result
PublicGood,EndogPublicGoods,W4,beta,      0.25
PublicGood,EndogPublicGoods,W4,tstat,      8.28
PublicGood,EndogPublicGoods,W4,AIC, -24833.42
PublicGood,EndogPublicGoods,W4,loglike,  12480.14
PublicGood,EndogPublicGoods,l_pwd_a,beta,      0.01
PublicGood,EndogPublicGoods,l_pwd_a,tstat,      2.01
PublicGood,EndogPublicGoods,l_pwd_a,AIC, -15363.80
PublicGood,EndogPublicGoods,l_pwd_a,loglike,   7705.06
PublicGood,EndogPublicGoods,ln_pwd_g,beta,      0.12
PublicGood,EndogPublicGoods,ln_pwd_g,tstat,      1.15
PublicGood,EndogPublicGoods,ln_pwd_g,AIC, -15356.79
PublicGood,EndogPublicGoods,ln_pwd_g,loglike,   7701.56
PublicGood,EndogPublicGoods,ln_pwd_m,beta,      0.11
PublicGood,EndogPublicGoods,ln_pwd_m,tstat,      1.66
PublicGood,EndogPublicGoods,ln_pwd_m,AIC, -15365.98
PublicGood,EndogPublicGoods,ln_pwd_m,loglike,   7706.15
PublicGood,EndogPublicGoods,wb_urbpop,beta,      0.00
PublicGood,EndogPublicGoods,wb_urbpop,tstat,      2.63
PublicGood,EndogPublicGoods,wb_urbpop,AIC, -22971.01
PublicGood,EndogPublicGoods,wb_urbpop,loglike,  11548.94
PublicGood,EndogPublicGoods,l_res_norm,beta,     -0.19
PublicGood,EndogPublicGoods,l_res_norm,tstat,     -1.41
PublicGood,EndogPublicGoods,l_res_norm,AIC, -23465.02
PublicGood,EndogPublicGoods,l_res_norm,loglike,  11795.97
PublicGood,EndogPublicGoods,p_res_norm,beta,      0.06
PublicGood,EndogPublicGoods,p_res_norm,tstat,      1.18
PublicGood,EndogPublicGoods,p_res_norm,AIC, -23291.40
PublicGood,EndogPublicGoods,p_res_norm,loglike,  11709.16
PublicGood,EndogPublicGoods,r_res_norm,beta,     -0.08
PublicGood,EndogPublicGoods,r_res_norm,tstat,     -1.05
PublicGood,EndogPublicGoods,r_res_norm,AIC, -23283.43
PublicGood,EndogPublicGoods,r_res_norm,loglike,  11705.17
PublicGood,EndogPublicGoods,g_res_norm,beta,      0.12
PublicGood,EndogPublicGoods,g_res_norm,tstat,      1.70
PublicGood,EndogPublicGoods,g_res_norm,AIC, -23316.23
PublicGood,EndogPublicGoods,g_res_norm,loglike,  11721.57
PublicGood,EndogPublicGoods,W4+l_pwd_a,beta,      0.12
PublicGood,EndogPublicGoods,W4+l_pwd_a,tstat,      1.70
PublicGood,EndogPublicGoods,W4+l_pwd_a,AIC, -15649.93
PublicGood,EndogPublicGoods,W4+l_pwd_a,loglike,   7849.14
PublicGood,EndogPublicGoods,W4+ln_pwd_g,beta,      0.12
PublicGood,EndogPublicGoods,W4+ln_pwd_g,tstat,      1.70
PublicGood,EndogPublicGoods,W4+ln_pwd_g,AIC, -15639.97
PublicGood,EndogPublicGoods,W4+ln_pwd_g,loglike,   7844.17
PublicGood,EndogPublicGoods,W4+ln_pwd_m,beta,      0.12
PublicGood,EndogPublicGoods,W4+ln_pwd_m,tstat,      1.70
PublicGood,EndogPublicGoods,W4+ln_pwd_m,AIC, -15645.82
